PerigueuxChancelade,1,Un,omè,n'ovio,,què,dou,fi,,Lou,,pu,zoonè,dichè,,o,choun,paï,Ey,,teim,què,,diou,chayè,,moun,meytrè,,,,è,,què,diou,ayè,,,dè,l'erzein,,,Foou,què,diou,,pécè,m'ein,nona,,è,què,diou,vé-jè,,doou,podyi,,Pertoza,votrè,bè,è,douna-,mè,cho,què,diou,,dévè,odiey,,Ô,,moun,fi,,dichè,lou,paï,coumo,tu,voudra,,,Tu,ché,,,um,meychein,,,,,,è,tu,,chira,puni,,Opré,,,drubon,,,un,tirouair,,,éou,pertozé,,choun,bè,è,,n'ein,fogué,doua,pourchiou,,eïgola,,,
PerigueuxChâteaulÉvêque,1,Un,homé,n'avio,,què,dou,fi,,Lou,,pu,joonè,dissé,,o,soun,paï,Ey,,tèn,què,,you,sayè,,moun,meytrè,,,,et,,què,you,ayè,,,dè,l'arjèn,,,Fao,què,you,,pessè,m'èn,ana,,et,què,you,vézè,,dau,payi,,Partaja,votre,bè,et,dounna-,mè,ço,què,you,,dévè,ayé,-,Oui,,moun,fi,,dissè,lou,paï,coumma,tu,voudras,,,Tu,sé,,,ün,meysèn,,,,,,et,tu,,sira,puni,,Puis,,,üvron,,,ün,tiroir,,,éü,partojè,,soun,bè,et,,èn,foguè,doua,pourtiü,,eygola,,,
PerigueuxPerigueux,1,Un̈,homè,n'ovio,,què,dou,fis,,Lou,,pu,zoo͞unè,dissè,,o,soun,paÿ,Ey,,tein,què,,you,sio,,moun,meytrè,,,,è,,què,you,ayè,,,,l'erzein,,,Foo͞u,què,you,,péssè,m'ein,ona,,è,què,you,vézè,,doo͞u,poyi,,Pertoza,votrè,bè,è,douna-,mè,so,què,you,,dévè,ovey,-,O,,moun,fi,,dissè,lou,paÿ,coumo,tu,voudra,,,Tu,sé,,,un̈,meyshein,,,,,,è,tu,,sira,puni,,Pey,,,dubron,,,uno,tirèto,,,èo͞u,pertozè,,soun,bè,è,,n'ein,foguè,doua,pourcio͞u,,eygola,,,
PerigueuxCoulounieixChamiers,1,Un,omé,n'ovio,noumâa,,doue,fii,,Lu,,pue,zoouné,diché,,o,soun,paï,Ey,,tin,qué,,you,chio,,moun,méïtré,,,,et,,qué,you,ayo,,,dé,l'arzin,,,Foou,qué,you,,pêssé,m'in,onâa,,et,qué,you,vêzo,,doou,poyî,,Pertozâa,votré,bé,et,dounâa-,mé,cho,qué,,,dêvé,oveix,-,O,,moun,fii,,diché,lou,paï,coumo,tu,voudrâa,,,Tu,chèe,,,un,méïssin,,,,,,et,tu,,chirâa,puni,,Péïprès,,,drubi,,,uno,tiréto,,,,pertozé,,soun,bé,et,,n'in,fogué,douâa,pourchiou,,porièrâa,,,
PerigueuxTrelissac,1,Ün,ômé,n'ovio,,qué,doû,fir,,Lou,,pû,zoouné,dîché,,o,choun,paï,Ei,,tin,qué,,iou,chiaïé,,moun,méïtré,,,,é,,qué,iou,aïé,,,dé,l'erzin,,Eo,foou,qué,iou,,peûtso,m'in,onâ,,é,qué,iou,vèzo,,doou,poï,,Pertoza,votré,bé,é,dounâ-,mé,cho,qué,iou,,dêvé,ové,,O,,moun,fir,,dîché,lou,paï,coumo,tu,voudrâ,,,Tu,chéi,,,ün,méitsin,,,,,,è,tu,,chirâ,puni,,Opré,,,drubon,,,ün,tiroir,,,éo,pertozé,,choun,bé,é,,n'in,fogué,douâ,pourchiou,,poriérâ,,,
PerigueuxChampcevinel,1,N',hôme,n'ovio,,qué,dous,firs,,Lu,,pus,djôné,dissé,,à,soun,paï,Eï,,tin,qué,,,siâyé,,moun,méitré,,,,é,,qu',,âyé,,,dé,l'erdjin,,,Fôs,qué,,,petssé,mé,n'onâs,,é,qué,,vedjé,,doô,poïs,,Pertodjâs,vôtré,bé,é,dounâs-,mé,quo,qué,you,,dêvé,véï,-,Oui,,moun,fir,,ditssé,lou,paï,coumo,tu,voudrâs,,,Ti,sé,,,ün,méïtsen,,,,,,é,tu,,sirâs,puni,,Péï,,,drubin,,,no,tiréto,,,oô,pertadjé,,soun,bé,é,,nin,fogué,douas,pourtious,,éigalas,,,
PerigueuxMarsacsurlIsle,1,Un,hommè,n'ovio,,què,dou,fiï,,Lou,,pu,joôné,dichè,,ô,son,paï,''Eï,,tein,què,,,chio,,moun,mèïtrè,,,,è,,què,,ayè,,,de,l'arzin,,Eeû,foô,què,you,,peuchè,m'en,ôna,,è,què,you,végè,,d'êo,poyi,,Partogea,votrè,bè,è,douna,mè,jou,què,,,dévè,oyei,,Oui,,moun,fi,,dit,lou,paï,coumo,tu,voudras,,,Tu,ché,,,un,meychin,,,,,,et,tu,,chiras,puni'',,Puis,,,drubont,,,un,tiroir,,,èeû,pertozait,,choun,bè,è,,n'in,foguè,doua,pourciü,,eygaula,,,
SavignaclesÉglisesCornille,1,U n,hommmè,n'aya,nouma,,dous,firs,,Lou,,pu,jaoune,dichè,,ao,soun,paï,Ei,,tin,què,,you,chiao,,moün,méïtré,,,,è,,qué,you,aïo,,,dè,l'erzent,,,Fô,què,you,,peissô,m'in,ana,,è,què,you,vézô,,dao,païs,,Pertaoja,votrè,bè,è,dounna,mè,chao,què,you,,dève,aïè,-,Ô,,moun,fir,,dichè,lou,paï,Commao,tu,voudras,,,Tu,chè,,,ün,meïssin,,,,,,è,tu,,chiras,puni,,Peï près,,,drubit,,,unao,tirettao,,,éou,pertazei,,soun,bei,è,,nin,faguè,doua,porchious,,eïgalas,,,
SavignaclesÉglisesSorges,1,Unn,aumè,n'ovio,,què,dôu,fys,,Lu,,pu,zoounè,dychè,,o,choun,paï,Eï,,tim,què,,you,chio,,moun,mèïtrè,,,,è,,què,you,âyè,,,dè,l'èrzin,,,Foou,què,you,,péssè,mè,n'onâ,,è,què,you,veizè,,doou,poyi,,Pertozâ,vautrè,bè,è,dounâ,mè,cho,què,you,,deivè,oyèï,-,Au,,moun,fys,,dychè,soun,paï,coumo,tu,voudrâs,,,Tu,ché,,,unn,méïsson,,,,,,è,tu,,chirâs,puni,,Opré,,,druvè,,,unoo,tiroir,,,,pertozè,,soun,bè,è,,n'in,foguè,douâ,pèrs,,poriérâs,,,
SavignaclesÉglisesLeParnetbis,1,Hun,homé,n'ovio,,qué,doux,fis,,Lou,,pu,zaunné,diché,,o,choun,paï,Ei,,teim,qué,,you,chio,,moun,meïtré,,,,é,,qué,you,ayé,,,dé,l'ardzen,,Eo,faö,qué,you,,péçé,m'enn,anâ,,é,qué,you,vézo,,daou,poïs,,Pertoza,vôtré,bé,é,douna,mé,cho,qué,you,,dévé,oveï,-,O,,moun,fi,,diché,lou,paï,coumo,tu,voudras,,,Tu,ché,,,um,meïtsan,,,,,,é,tu,,chiras,puni,,Opré,,,drubont,,,uno,tiretto,,,éö,partozé,,choun,bé,é,,n'in,fogué,douas,parts,,eïgolas,,,
