1-stan-1290	17	. 		Enfin						, 							étant 		rentré 				en 	lui	-	même							, 			il 			dit 																									: 												Combien  				y 	a	-t'-il			, 				"chez
            "	mon 	père	, 				de 		serviteurs 			à 	gages 																									qui 		ont 	plus  		de 	pain 						qu’	il 	ne 	leur 		en 		faut 									; 	"et
            "	moi 			je 									meurs 		ici 	de 	faim 				!
2-auve-1239	17	. — 		Adonca 																																		se 	diguét 	én 	zer 		mèma 																					: 												quontzis 		mercenaïres 																													"à
            "	l’	oustahr 		de 	mon 		païre 															haut 			de 	po 					toni 	que  							vohrou									, 		dïou 		eissi 										more 			de 	fon 				!
3-wall-1255	17	. 																	Rivnou 				a 	lu 		même 										i 			dit																									: 												Kibin 					gnia	-t'-i													nin 	d’	trouwans	vârlets 									è 	l’	mohonne 		di 	m’		père 		qui 					flotet 	é 	boure 	so’	l’	tims 																																		j’									cryve 		cial 	"di
            "	faim 				!
4-wall-1255	17	. 		Mais 															rintré 				d’vin	lu 		même							, 			i 			diha 																									: 												Kwantes 		varlets 																																																			"ont
            "			do 	pan 				à l’abondince 										d’vin	l’	mâhon 	du 	m’	pere 			! 	et 	mi 			j’									moure 		voci 	d’	faim				.
5-wall-1255	17	. 		Mais 															raintré 				dains 	li 		maimme							, 			i 			dit																									: 												Combain d’ 		"vaurlets
            "																													dains 		maugeonne 		di 	m’		pére 															ont 			do 	pouain 				tôt leu soo 																		! 	Et 	mi 		vaici 	dji 									crevo 			"di
            "	fouain 				!
6-wall-1255	17	. 		A l’fin						, 		après 	s’				avoir 	bié 	rappensé														, 			i 		se 	dit 	à 	li 		"même
            "																					: 												Combié 				y 	a 	ti 														de	manouvriers 										à 	l’	mon 		de 	m’		pée													qui 		ont 			du 	pain 				à planté																		, 	et 	mi 			"je
            "				m’					muere 			de 	faim 	droit'-chi 			!
7-camb-1242	17	. 		A l’fin 													étéent 		r’vnu				in 	li 		même 							, 			i 			digeau 																									: 												Combin 				n’y          	a 															d’		varlets					, 									mon 	min 	père 													ki 		ont 	pus 		d’	poin 						k’	i 	n’		i			faut 									!																						
8-arto-1238	17	. 		Teant qu’a la fain-ye						, 			s’						rapainseant 				dains 	li 		maîme							, 			"i
            "			dit																									: 												Kaimbien qu’				i n’	io 															d’		varlets 											mon 		d’	main 		père 													qui 		eont 			du 	Pon-ye				à treop 																		! 	"Et
            "	mi 			ch’					ssus 	chi 		à 	mourir 			ed’	fon-ye 			tôt 	!
9-arto-1238	17	. 		En 															pensent 				en 	li 		même 										i 			dit 																									: 																Y ni 	a 		ben 													des 	"poves
            "	ovriers 									den 	l’	mageon 		ed 	men 		père 													qui 		ont 	gramin 		ed 	poin																						, 	et 	mi 			eg’									meurs 		chi 	ed’	foin				!
10-arto-1238	17	. 		Infin 						, 							étan 		arvenu 				à 	ly												il 			di 	in 	ly 		même																					: 												Combien esche qu’				il y 	a 					din 	l’	mason 	d’	min 	père 					ed 		garchons 																		qui 	sont 	sous 	ly	,							qui 		ont 	pu 		de 	"paayn
            "						qui 		n’	leus		in 		faut									; 	et 	mi 								sçu 	t’ichi		à 	mourir 			ed 	faain				.
11-wall-1255	17	. 		Efin 						, 							estant 		rintri 				din 	le 		mêm										y 			di 																									: 												Combin 				y 	es 	t’y							cheu 	m’	per	, 				de 		vaurlet 																													qu’		on 	pu 		d’	poin 						qui 		ne 	lé 	y 	a 		fau									, 	el 	mi 			j’									meur 		touci 	d’	"foin
            "				!
12-lorr-1242	17	. 		Enfin						, 							étant 		réntraye 				en 	lu	-	maime							, 			y 			deheu 																									: 												Combain				y 	ait	-il 				dans 	lait 	mohon 	dé 	me 	pairre 					de 		valot 			et 	gaige 																									qu’		ont 	pu 		dé 	pé 						qui 		ni 	"aut
            "		en 		faut 									; 	et 	mé 			jot 						toussé 		et 	meurri 			de 	fé 				?
