1-stan-1290	23	. 									amenez 				aussi 				le 		veau 		gras	, 	et 		le 	tuez 			; 					mangeons 			et  		"faisons
            "		bonne 	chère 	:											
2-auve-1239	23	. — 									Mena 								lou 		vedér 		gras	, 				sanna 		lou	, 					mandzon 		.								é  					"devartissons
            "				nous	
3-wall-1255	23	. 									Prindez 								on 	crâ 	vai			, 				touwé’		l	, 		qui 	nos 		magnanse 			"et
            "							qu’			nos-	nos 	d’vertihanse					.
4-wall-1255	23	. 	Et 						alléze 		prinde 								lu 	cras 	vai 				et 		sul 	touo 				et 		s’		"magnans
            "			et 	s’	fusans 			gasse												.
5-wall-1255	23	. 	Et 								amouainmez 								l’	crau 	via			, 				touez	-	le 	; 								et 	nos 	"frans
            "	l’		fiesse												.
6-wall-1255	23	. 	Aprés 					vos 			amènerez 								l’	cras 	viau 			: 		vos 	l’	tuerez 						"nos
            "	l’	meignerons 			et 	nos 	ferons 		bonne 	chere												.
7-camb-1242	23	. 									Am’nez			chi 					ch’		viaus 		cras 		et 			tuez 							l’	mions 			et 		"faigeons
            "		bonne 	chère												.
8-arto-1238	23	. 	Et si 								déloyez 								ch’		vieau 		cras 		et 			égorgez	-		, 				l’	mions 			"et
            "		fageons 			fricot												.
9-arto-1238	23	. 							Allez 		quère 			es 					che 		viau 		cras	, 				tuélle			, 					mions 			et 		"fageons
            "		bonne 	chière												.
10-arto-1238	23	. 									Amenés 				aveucque				l’		viau 		cras 		et 			tuelle								mingeons 			"et
            "		faigeons 		bonne 	torche												.
11-wall-1255	23	. 									Amouno 				ossi 				l’		vai 		crau 		e 			tuo	-	l 	; 					menjon		, 	e 		fegean 		"boun
            "	schair												.
12-lorr-1242	23	. 									Aimeneu 				aussé 				le 		vé 		gras	, 	et 			toueulle 			: 					maingan 			"et
            "		faian 		bounne 	chir 												:
13-lorr-1242	23	. 									Amounos 				toceu 				lo 		ve 		gras	, 	et 			touos 		lo	, 					mengeons 			"et
            "		feions 			fricot												.
14-lorr-1242	23	. 									Quoiret 				asi 				lo 		vé 		grès 		et 			touet 		lo 	; 					menja 			et 		fia 		"boine
            "	chire 												;
15-lorr-1242	23	. 									Emnet 				aussi 				lo 		vey 		gras 		et 			toi 		lo 	; 					meigea 			et 		"fëra
            "			fechtin												.
16-alem-1243	23	. 									Aimoinai 				achi 				lo 		ves 		grecit 		et 		lo 	tuait 			; 					maingeons 			"et
            "		fesant 			festin												.
17-fran-1270	23	. 									Amenas 				aschu 				lo 		vias 		gras 		et 			tuas 		lo 						mingeons 			"et
            "		bonbançons															.
18-fran-1270	23	. 									Prente 				auchu 				lo 		vé 		gras 		a 			tua 		lo 	; 					mingeant 			a 		fesant 		boine 	chire												.
19-fran-1270	23	. 							Couret 		quérir 								lo 		vé 		gras	, 				tuet	-	lo 	, 								et 	je 	feraus 	in 	"grand
            "	fechetin												.
20-fran-1270	23	. 									Eimenâ 								lou 		vée 		grâ 		et 			tuà	-	lou	, 					mingeans 			et 		"fesans
            "			bobance												.
21-fran-1270	23	. 									Aimenai 				aitaut 				le 		viau 		gras	, 	et 			tuai	-	le	, 					deignons 			"et
            "		feson 	de 	bons 	fricaus												.
22-fran-1270	23	. 									Aimenas 				aussi 				lou 		viau 		gras 		et 		le 	tua 			, 					maingeant 			"et
            "		fesant 		bouene 	chère												.
23-bour-1247	23	. 									Aimouniez 				aitout 				le 		viau 		gras 		et 		l’	tuez 			: 					mezons 			"et
            "		fions 			fricot		et 					devertissan 				nou	.
24-poit-1241	23	. 									Ameneiz 		me 		é 	tuais 		m’	un 		vedais 		grà 								: 										fasan 		"grand
            "	fricot 												.
26-poit-1241	23	. 									Amenez 				aussi 				le 		via 		gras 		et 			tuez 		lou	, 					mangeons 			"et
            "		fasons 		boune 	chère 												;
29-poit-1241	23	. 									Conduzez 		me 	ichy 					le 		beudet 		gras 		et 		le 	tuez			, 					mangeons 			et 		fasons 		grand-	chére												.
30-poit-1241	23	. 									Mené 								le 		vedé 		gras 		et 			tué 		lou 	: 					mangeon 			et 		feson 		"bonne
            "	chère		et 					deyvertissan 				nous	.
31-limo-1246	23	. 									Menés 				tabé 				le 		vedeu 		grâs	, 				tués 		lou	, 					mangeons 			et 		"fesons
            "		boune 	chère												.
33-limo-1246	23	. 									Menais 								un 		vedeou 		grais 		et 			tuais 		lou 	; 										fasant 		"bouno
            "	tchêro 		"é
            "					divertissein 				nou	.
34-lang-1309	23	. 									Menas 				otobé 				lou 		védel 		gras	, 	et 			tua	-	lou	, 					mintzen 			e 		"fozen
            "		bouno 	tsiéro												.
35-limo-1246	23	. 									Menâ 				é 	tuâ 			lé 		vedeûe 		grâ 								: 										fasein 		bouno 	charo 												.
36-limo-1246	23	. 									Ménas 								lou 		védeû 		gras	, 				tuas 		lou	, 					minjans 	lou 									et 					"eibotans
            "				nous	.
37-limo-1246	23	. 									Ménas 								un 		vedeu 		gras 		et 		lou 	touas			, 										fasans 		bounô 	cherô 		"et
            "					réjauvissans			-	noûs	.
38-auve-1239	23	. 									Pourta 			eichi 					lou 		vedé 		gras 		et 			tioua 		le	, 					mandzein 	"le
            "		et		fadzein 		bounô 	tsarô												.
39-lang-1309	23	. 									Pr’net								un 		bedel 		gras 		et 			tuol 		lou 			per 			meingia 																				.
40-lang-1309	23	. 									Menas 								lou 		bedel 		gras 		et 			tuas 		lou	, 					mouchen 			et 		fosquen		grondo 	festo		et 			"nous
            "		regola					.
41-lang-1309	23	. 	E 						anas 		querre								lou 		bedel 		gras	, 				tiases 		lou	, 					mantjen 	lou 		"e
            "		fasquen 			festo												.
42-limo-1246	23	. 	É 								mené 								lou 		belét 		gras 		et 			tuoulé 		lou	, 					minghen 			é 												"regalén
            "				nous	.
43-gasc-1240	23	. 									Amiats 								lou 		bedet 		gras	, 	é 			tuats 		lou 	: 					minjen 			é 		hascan	uo 	gran’	heslo												.
44-lang-1309	23	. 	É 								menax 								un 		bedel 		gras 		é 			tuax 		le 		é 				mangen 	le 		é 												"régalen
            "				nous	.
45-lang-1309	23	. 	Et 								menax	, 							ech 		bedech 		gras 		et 			tuaï	-	le 		et 				mingem 			et 		"hem
            "			festin												.
46-lang-1309	23	. 									Mènats 				tabès 				un 		bèdèl 		gras	, 				tuais 		lè 		et 									fascan 		"bouno
            "	chèro 												:
47-lang-1309	23	. 	Et 								menax 								le 		bedeilh 		gras 		et 			tuax 		le 		et 				mangen 			"et
            "		fasquen 			festo												.
48-lang-1309	23	. 	Et 								menax 								le 		bedeil 		gras 		et 			tuax 		le 		et 				mangen 			et 		"fasquen
            "			festo												.
49-cata-1291	23	. 	Y 								menau 								lo 		vedell 		engreixat	, 	y 			matau	-	lo	, 	y 				menjem		, 								"y
            "					allegrem			-	nos	.
51-lang-1309	23	. 	Et 						anats 		quérré 								un 		budel 		gras	, 				tuats	-	lé	, 				lé 	manja			et 	nous 	mettren 	en 		festo												.
52-lang-1309	23	. 									Menas 				aoussi 				lou 		budel 	lou pu 	gras	, 				tuas 		lou	, 					mangen 			"et
            "		faguen 		bouno 	bido												.
53-lang-1309	23	. 									Menas 				atabé 				un 		budel 	pla 	gras 		et 			tua 		lou 	; 					menjen 										"et
            "					regalen 				nous	.
54-lang-1309	23	. 							Anas 		querré 				tabé 				lou 		bédéllou 	pu 	gras 		es 			tuas 		lou	".
            "										Fascan 			festin 				dé 			rejouisenços					.
55-lang-1309	23	. 	E 								mènat 								lou 		bèdél 		gras 		é 			tuat	-	lou 	; 					mangen 			é 												regeouïssen			-	nous	.
56-lang-1309	23	. 							Anas 		cerca 								lou 		budel 		gras					tua 		lou 						mangen 			é 		"fagen
            "		granda 	chèra												.
57-auve-1239	23	. 							Ana 		quare 								un 		vedé 		gras 		et 			tuiazez 		lou 	: 										fazen 			fricot 		"et
              "					galen			-	nous	.
58-viva-1235	23	. 							Ana 	me 	quéré 								lou 		veou 		grass	, 	e 			tua 		lou 	; 					mangen 			é 		"fazen
            "		buono 	chéro												.
59-viva-1235	23	. 									Aduyeis 				mais 				lou 		vio 		grass 		et 			tuais 		lou 	; 					mingeains 										"et
            "					régalains 				nous	.
60-prov-1235	23	. 									Menas 								lou 		vedel 		gras	, 				tua 		lou 	, 					mangen 			et 		faghen 		"bono
            "	chéro												.
61-prov-1235	23	. 							Anas 		qërë 								lou 		vedâou 		gras 		ë 			tuias 		lou 	; 					manghën 			"ë
            "		faghën 		grando 	chêro												.
62-prov-1235	23	. 							Ana 		sarcar 								lou 		vedeou 		gras 		et 		lou 	tuarés 								mangen 										"et
            "					regalensi					.
63-prov-1235	23	. 									Adouas 								lou 		vudeou 		gras 		et 		lou 	tuas			: 										faguen 		"boueno
            "	chiero 		et 				si 	rejouissent					.
64-prov-1235	23	. 									Aduzé 								un 		védéou 		gras 		é 			tuïa 		lou	, 					mandzen 			é 		fasen 		"bone
            "	tziére												.
65-viva-1235	23	. 							Anas 		querré 								lou 		vedeou 		gras	; 				tuas 		lou	, 					mangean 	lou 		"et
            "		fazen 			bouubanço												.
66-viva-1235	23	. 									Adusez 								lou 		védeou 		gras 		é 			tua 		lou	, 					mangian 			é 		"fasen
            "		grando 	chiéro												.
