1-stan-1290	24	. 		parce que 						mon 		fils 		que 		voici 						était 	mort	, 	et 						il 	est  		ressuscité 		";
            "			il 		était 	perdu	, 	et 					il 		est 	retrouvé	. 					Ils 		commencèrent						donc 	à 	faire 			festin											.
2-auve-1239	24	. — 		Per ço que 						moun 		fir 										zèra 	mort 		é 							zes 		rassussita 		;  					zèra 	pardu 		"é
            "						s’	es 	retrouba 	; 		ati desoubre	 			se 	boutérou 							én  				trén											.
3-wall-1255	24	. 		Parce qui 						m’		fils 								qu		ésteut 	moir 									est 		raviqué		, 		qu’	"il
            "		esteut 	pierdou 		et 				qu’	il 		est 	r’trové 		et 	volà qu’on 													magne 	so 		tôt ses dints											.
4-wall-1255	24	. 		Po çou ku						m’		fils 				voci 						esteut 	moir 		et 		qu’				il 	est 		raviski 		";
            "			il 		esteut 	pierdou	, 	et 					il 		est 	r’trové 	. 	Et 				i 		kmincint 							à 	fé 	l’		gasse											.
5-wall-1255	24	. 		Pusqui 						m’		fils 										estoit 	mouart 		et 						il 	est 		raviqué 					il 		"estoit
            "	pierdu 		et					il 		est 	r’trové 		et 				is 	s’	sont mettu 			à 	tauve	, 								et 	is 		s’	sont 	"bain
            "	divertis			.
6-wall-1255	24	. 		Car 						m’		fieu 		que 		v’chi						étoa 	mort	, 	et 			le 	v’la					resuscité		";
            "			il 		étoa 	demannevé 		et 	le 	v’ia						rekeu 	: 		après cha			i 	s’	boutent 							à 	faire 		"bonne
            "	torche											.
7-camb-1242	24	. 		Parche k’						min 		fius 								k’	il 	étau 	mort 								il 	est 		ressuscité		, 			"il
            "		étau 	perdu 		et 					il 		est 	retreuvé 	; 		les v’là donc ki				s’	mettent 							à 	faire 			régal											.
8-arto-1238	24	. 		Pareil’						main 		fiu 		q’		volu 				qu’		étoüait 	défaineté 								c’	"est
            "		viveant		, 		qu’	il 		étoüait 	pardu 		et 				qu’	o’l’			raveons																														.
9-arto-1238	24	. 		Parche ek 						men 		fiu 								qui 		éto 	mort	, 							il 	est 		réchuchité		, 			"il
            "		éto 	perdu	, 						il 		est 	r’trouvé	, 	et 				il 										ont fé 			bonbanche											.
10-arto-1238	24	. 		Parce que 						min 		fin 		que 		via 				chi 		étouët 	mort 		et 						il 	"est
            "		réchussitai		, 			il 		étouët 	perdu 		et 					il 			artreuvai	, 					ils 		q’menchertent						don 	"à
            "	faire 			fricot											.
12-lorr-1242	24	. 		Pessequé 						mon 		offan 		que 		vêlait 						oteu 	mou	, 	et 						l’	"ot
            "		resucitaye		: 			l’		oteu 	peudu	, 	et 					l’		ot 	retreuvaye	: 					l’		onc coumencit						don 	et 	"farre
            "	le 		faite											.
