1-stan-1290	28	. 			Ce 		qui 			l’							ayant mis 			en colère					, 					il 	ne 	voulait 	point 	entrer 			"dans
            "	le 	logis	; 	mais 								son 	père 	 				étant sorti 							pour 							l’		en 	prier										,
2-auve-1239	28	. — 									L’	éina 							tout 	én couréla 					. 							voudiot 	pas 	entra															Lou  	paire 					"soutiguét
            "							per 							l’			engadza										.
3-wall-1255	28	.				Voilà 	qu’							i 						brogne 							et 		qui 		n’	vout 	nin 	intré 						: 									li 	"père
            "					sorté 							et 				kwyre 	à 		l’			râpâhti										.
4-wall-1255	28	.		Mais 							l’	"vî des fils 
"			s’					emâvra 							et 			i 	n’	voléve 	nin 	"moussi
            "			d’vin			. 	Et 								s’	pere 					vinahe 							po 							l’								fé 	intré				.
5-wall-1255	28	.		Mais 										ç’tici 	à s’					ti mouai					, 					i 	n’	voloil 	nain 	raintré						, 	"adon
            "	i		fâve 	ku 				s’	pére 					estant rechu					, 						"a 
commainci 
"	à 			feu 	es 	prïhi										.
7-camb-1242	28	.			Cha 					l’							a mis 			in colère 							et 			i 	n’	a point volu 		intrer 			"dins
            "	l’	mason	. 									Son 	père 					étéent widié 							pou 							l’			prier										.
8-arto-1238	28	.			Ch’					lo 							Voyant 			courouché					, 					in 	n’	volouait 	pont 	raintrer			dains 	l’	mazon	, 	maye 								sain 	père 															s’	metteant 	à 		l’			prier										.
9-arto-1238	28	.									Eche	pu viu fiu 		et 	n’		éto 		si 	engoinnié 									qui 		n’	a mi volu		entré 			den 	l’	mageon	, 		chou	qui 	a forchié					sén 	père 					ed widié 							et 						 	del 			prié 			d’			entré 		"aveuc
            "	li	.
10-arto-1238	28	.			Ce 		qui 			l’							aayant mi 			in colère					, 					il 	ne 	voulouët 	"pont
            "	rentrer 			dins 	l’	mason 	: 	mais 								sin 	père 					sortit 		déhors 					pour 							l’			ingager 			"a
            "			intrer				.
11-wall-1255	28	.			Se 		qui 			l’							ayant 			coursi 										y 	n’	velot 	ni 	intrer 			din 	la 	"maujon
            "	;	ma 								s’	per 					estan sorti							pou 							ly 			dir 			d’			intré				,
12-lorr-1242	28	.			Ce 		que 			l’							aiant fa 			fauchi					, 					y 	ne 	veuleume 		entraye 			"dans
            "	lai 	mohon 	: 	ma 								se 	pairre 					ètant sourti 					;									l’		en 	prii 										
13-lorr-1242	28	.								L’						en 	fu 		si 	fàchi 									qu’	i	ne 	vlomme 		entrer 			dans 	lè 	mahon	",
            "	ma 								so 	pere 					sateu 		fieu 					po 							l’		en 	prii										.
14-lorr-1242	28	.			Ce 		q			l’							aiant 		bie 	fachi					, 					i 	n’	vlome 	za 	atret			da 	lè 	majon 	";
            "	mès 								so 	père 					satet 		fue 					po 							la 			priet										.
15-lorr-1242	28	.		Dessi 	celet 									et 						fauché 							et 				né 	velet 	mi 	ratret 						; 	ma 								"so
            "	père 					saute 		fie 								se 	matté 	et 		lo 			prie										.
