1-stan-1290	32	. 	mais 			il 			fallait 										faire 				festin 		et 			nous 	réjouir		, 	parce que  		"votre
            "	frère 										était 	mort		, 	et 		il 		est ressuscité 		; 			il 			était 	perdu	,  	et 				il 			a été retrouvé			.
2-auve-1239	32	. — 							Tzadiot 					be 					faïre 				festa 		é 			se 	redzouzi		, 	par ço que  		toun 	"fraïre
            "										zèra 	mort 			é 				zes rassussita		, 						zèra 	pardu 		é 						s’	os  retrouba			.
3-wall-1255	32	.				I 			folève 					bin 			qu’	on 											fihe de l’joïe 			pusqui 		t’	frère 	qu’									esteut   	moir 		’					est raviqué 			qu’		il 			esteut 	pierdou 		et 	qu’			il 			est r’trové			.
4-wall-1255	32	.	Mais 			i 			faléve 										fé 				gasse 		et 			s’	diverti bravemin		, 	"pussku
            "		vos 	frere 					voci 					esteut 	moir 			et 	qu’	il 		est raviski 		; 	qu’		il 			esteut 	pierdou 		et 	qu’		voilà 				r’trové			.
5-wall-1255	32	.	Mais 			i 			falloit 					bain 					fe 		l’		fiesse 		et 			si 	r’djoïhi 			"pasqui
            "		vosse 	frère 										estoit 	mouart 																		et 	qu’			il 			est raviqué			.
7-camb-1242	32	.	Mais 						folau 										traiter 						et 			nos 	divertir 			parche ke		vos 	"frère
            "										étau 	mort 			et 	k’	il 		est ressuscité 		, 			il 			étau 	perdu 		et 				il 			est r‘treuvé			.
8-arto-1238	32	.	Maye 			i 			feaut 										fouaire 				ducasse 		et 			nous 	récréyer 			"à kiose
            "		tain 	frère 											défaincté 				qui 			r’est viveant		, 	qu’		il 			étoüait 	pardu 		et 	qu’			ol’			r’aveons			.
9-arto-1238	32	.	Mé 			y 			conveno 				d’						faire 			bonne 	chière 		et 		d’	no 	réjouir 		"
            "	vu q’		ten 	frère 	qui 									éto 	mort 							est réchuchilé		, 	qui 					éto 	perdu 		et 	qui 						est r’trouvé			.
10-arto-1238	32	.	Mais 			y 			falouët 										faire 				fricot 		et 			nous 	régalé 			parche que	"
            "	vous 	frère 										étouët 	mort 			et 		il 		est réchussitai 					il 			étouët 	pardu 		et 				il 			a été artreuvai  			.
11-wall-1255	32	.	Ma 			il 			fallût 										foire 				festin 		é 			nou 	réjouï 			pos’que		vos 	"frer
            "										esto 	mor 			é 		y 		revicq		, 			y 	l’		esto 	perdeu 		é 				y 			lésté retrouvé			.
12-lorr-1242	32	.	Ma 			y 			folleu 										farre 		lé 		fête 		et 			neu 	rejoii		, 	puisque 		"vôte
            "	fraire 										oteu 	mou		, 	et 			l’	ot ressuscitaye		, 				l’		oteu 	peudu 		et 					l’		ait eteu rétréuvaye   			.
13-lorr-1242	32	.	Ma 			i 			falo 										fare 		in 		fechtin 		et 			no 	réjoui		, 	parceque 		"vote
            "	frère						, 				ato 	moua 			et 			l’	a resuscité 		; 				l’		ato 	pediu 		et 					l’		a retrové			.
