1-stan-1290	16	. 								Et 																																là 							il 				eût 	été 		bien 	aise 													de 				remplir 	son 	ventre 					des  		cosses 						"que
            "			les 	pourceaux 	mangeaient						; 	mais 				personne 			ne  			lui 		en 			donnait																					.
2-auve-1239	16	. — 																																																			Ouriot 			be 	vougu 																	rampli 	soun 	véntre 					de 	las 	caloffas						"que
            "	mandzavou 		lous 	coutzous							, 	mei 				degs 			n’					yn  			dounave																					.
3-wall-1255	16	. 																																															Il 				areut 				volou 																	rimpli 	s’	vinte																								, 	mais 				on 			n’			ly 					d’néve	"rén
            "				et 	ses 	pourçais 	avy 	l’	air	d’	el’	fé 	gaive 	tôt 	magnant 	des 	hâgnes 	dé 	peus	.
4-wall-1255	16	. 								Et 																																							il 				ouhe 			bin 	volou 																s’	rimpli 	l’	vinde 		avou 				l’								amagni 		"des
            "	pourçais							: 	et 	inn	y 	avéve 	noulu 		qui				li 		enn’			dnahe																					.
5-wall-1255	16	. 								Et 																																							il 				aureuve 			bain 	volù 																s’	raimpli 	l’	vinte 					des 		favettes						qui 			les 	pourcias 	mougnainnes 							et 				persoonne 			ni 			li 		es 			d’neuve																					.
6-wall-1255	16	. 																																															Il 				aroa 			bié 	voulu 																	rempli 	s’	veinte 					des 		cossiaux 						que 			"ches
            "	pourcheaux 	megneun’te						, 	mais 				on 			ne 			li 		ein 			bailloa 	nié																				.
7-camb-1242	16	. 								Et 																																là 					drolà	, 	il 				arau 	été 		bin 	age 													d’				rimplir 	s’	"pinche
            "		aveu 			chés 		écorces 						k’			ches 	pourchaux 	miottent						.	Mais 				personne 			ne 			l’	i	"en
            "			donnant																					.
8-arto-1238	16	. 								Et 																																					drolo 		il 				érouait 	été 		bain 	âge 													ed 				bourer 	s’	"péanche
            "					dezz’		élitains 						q’	mioüettent 		chés 	cochons							, 	maye 				ain 			n’			li 		ain 			baillioüait 	"pont
            "	nul																			.
9-arto-1238	16	. 								Là 																																i 					dziro 																										s’	remplir 	s’	panche 					des 		écorches 					et 	qu’			"chez
            "	pourchiaux 	emmioittent						, 	mé 				personne 		et 	n’				i 	én 			donno 	mi																				.
10-arto-1238	16	. 								Et 																																là 							il 				étouoit 			ben 	age 		assez 											ed’				remplir 	sin 	"vinte
            "					d’		êcorches 						éque 			chés 	pourceaux 	m’ingeoitent 						; 	mais 				personne			ne 			l’	y 	"in
            "			donnouoit																					.
11-wall-1255	16	. 								Et 																															tou 	la 							il 				auro 	esté 		bin 	auge 													d’				aplénir 	se 	vint 					"de
            "		cos 						que 			lé 	poursai 	moingint 						; 	ma 				pechaun 			ne 			ly 					a dno																					.
12-lorr-1242	16	. 								Et 																															toulet 								l’				éreu 	etu 		ben 	ahhe 													de 				rémplire 	se 	ventre 					"des
            "		crofouilles 						que 			les 	cochons 	maingaint 						; 	ma 				péhounne 			ne 			li 		en 			beilleu																					.
13-lorr-1242	16	. 																																															L’				erottu 			bin 	ach 													de 				rempli 	so 	vante 					des 		caffes 						que 			"les
            "	pouchés 	mengienent 							ma 				nisan 			eun 			li 		en 			beïo																					.
14-lorr-1242	16	. 								Et 																												da 	l’	adrat 	let							, 	l’				éra 	étu 		bin 	aige 																	danprié 	so 	"vatte
            "					des 		écoches 						q’			les 	pouchés 	mengin						, 	mès 				pachane 			n’			li 					a béa 	za																				.
15-lorr-1242	16	. 																																															El’				étrau 				souhatié 																se 	reppi 	lo 	vatte 					dé 		scafe 						que 	"meigé
            "		li 	pohaie 								et 				pahene 			ne 			li 					at donet																					.
16-alem-1243	16	. 								Et 																																							l’				eut 				desirie 																se 	rempiâtre 	lai 	pince 					des 		"étouches
            "						que 	maingient 		les 	poués 							; 	et 				niun 			ni-					ien 			bayait																					.
17-fran-1270	16	. 								Al 																																											ava 			bain 	viu 																	ompienni 	son 	vontre 					des 		écosses 						"que
            "	maingeaient 		les 	pôs 								mas 				n’uin			ne 			li 		on 			baillât																					.
18-fran-1270	16	. 								Al 																																											ara 			bin 	veliu 							poya 									se 	seûla 							des 		broches 						que 	"mingint
            "		les 	pos							. 	Ma 				nun 			ne 			ly 		en 			bâillât																					.
19-fran-1270	16	. 								Quelques 																						fois 	el 	aivoit 	si 	faim 	quel 																airoit 				vlu 																	"vivre
            "							do 									mégie 		das 	gouris 							; 	mais 				nun 			ne 			lui 		en 			bayoil																					.
20-fran-1270	16	. 																																								Lei 							èl 				eu 			bin 	viu 																s’	gourgie 							dâs 		cosses 						que 			las 	gouris	mingin						, 	mâ 				nûn 			n’			li 		en 			beilloi																					.
21-fran-1270	16	. 								Et 																																là 							el 				eu 	aitai 		bé 	aze 													de 				rempi	son 	vente 					des 		aicréfeilles 						que 			les 	couchons 	deignieus						, 	et 				nun 			ne 			l’	y 	en 			baillo																					.
22-fran-1270	16	. 								Et 																																							liouls 				ita 			bin 	ase 													de 				remplit 	sai 	panse 					das 		aicousses						que 			las 	poès 	maingint						, 	mais 				nun 			ne 			ly 		en 			bailloue																					.
23-bour-1247	16	. 																																								Let 							ol 				airot 			ben 	vlu 																	mezér 							das 		gos de pois 	qu’	"on
            "	baillot 						éz 	coiçots 		et 	en 	aivoir 	son 	sout 	;	mas 				parsoune 			ne 			l’	y 	an 			dounot																					.
24-poit-1241	16	. 					Oh 	! 	coum’																																								v’				aurîe 	éta 			contant 			si 	v’			avie p’gu										amplire	son 	vantre 					de 	quellais 	calofaîs 	qu’	i 	faziant 				mangeat 	à 	qui 	goré							, 	"mais
            "				presoune 			ne 			ly 		en 			dounave																					.
