1-stan-1290	19	. 	et 	je 		ne 					suis 		plus 		digne 				d’			être 	appelé 			votre 	fils 	;  		traitez									-	"moi
            "					comme 									l’	un 	des 				serviteurs 	qui 	sont 	à 		vos 		gages				.
2-auve-1239	19	. — 									Sou 		pas 		digne 				d’			éstre 	appela 			voste 	fir 	; 		trata 										me  					coume 										un 	"de
            "		vostgis 		doumestiques											.
3-wall-1255	19	. 		Ji 		n’									mérite 	pus 			qui 	vos 	m’		ioumesse 			vosse 	fils	, 		"traity
            "										me 					comme 										onk 	di 		vos 		vârlets											.
4-wall-1255	19	. 	Vola qu’	j	u 	n’					so 		nin 		dignè 				d’			ess 	loumé 			vos 	fils	":
            "		prindo									-	me 			po 												onque 	du 		vos 		siervans											.
5-wall-1255	19	. 		Dji 		n’									merite 	pus 	asteur 		d’			ess 	nommé 			vosse 	fils	, 		"traitez
            "										me 					comme 										onque 	di 		vos 		vaurlets											.
6-wall-1255	19	. 		Je 		n’									mérite 	pus 			qu’	on 	m’		appelle 			t’	fieu	. 		Traite 										me 			"à mains 
            "		comme 										ein 	de 		tes 		manouvriers											.
7-camb-1242	19	. 		J’		n’					sus 		pus 		dinne 				d’			ête 	huké 			vos 	fins	. 		Traitéème 															"comme
            "										éen 	de 		vos 		varlets 	ki 	son 	à 		vos 		gages				.
8-arto-1238	19	. 	Et 			n’					sus 		pus 		daîne 				d’			ett’				vous	fiu	, 		traitém													tout ainsain-ye       		qu’										ain 	d’		chés 		varlets 	qui 	séont 	à 				liüage 	dains 	vous 	mazon	.
9-arto-1238	19	. 	Acheteur 	je 		n’					su 	mi 	pu 		digne 				d’			ête 	appiallé 			vo 	fiu	",
            "		trétême 															comme 										un 	de 		vos 	povres 	ovriers											.
10-arto-1238	19	. 	Et 	jen		ne 					su 		pu 		dingne 				d’			éte 	appelé 			vous 	fieu	. 		Traitême															comme 										un 	de 		chés 		gins 	qui 				vous 	servetent					.
11-wall-1255	19	. 	E 	jeun’							seu 		pu 		digne 				d’			és 	houchi 			vos 	t’afan			traito’										"m
            "					com 										unq 	d’		vo 			que 	son 	à 		v’		gâche				.
12-lorr-1242	19	. 	Et 	je 		not 							pu 		daigne 				qu’	on 	me 		houieusse 			vote 	offan	",
            "		tratieume 															coumme 										ainque 	dé 				valot 	qué 	sont 	et 		vos 		gaiges				.
13-lorr-1242	19	. 	Et 	je 		ne 					seum 				digne 				d’			ête 	hoï 			vote 	feu	; 		tratiome 															"comme
            "										un 	des 				valas 	que 	sont 	è 		vos 		gueges				.
14-lorr-1242	19	. 	Et 	je 		n’					seu 		pu 		digne 				q’	v	m		épelains 			vot 	fei 	; 		traétem 										"ema
            "															in 	des 				valats 	q’	va 	è 		vos 		gaiges				.
15-lorr-1242	19	. 		Je 		ne 					seï 	mi 			degne 	jema 			d’			êté 	namet 			voté 	fes	, 		trates 										"mé
            "					inna 										quin 	d’		veu 		vaula 	qui 	sant 	etne 				gaiges				.
16-alem-1243	19	. 		Y 		ne 					seu 		pe 		digne 		dorenaivint 		d’			être 	aiplait 			vot 	fés	".
            "		Traitaite 										me 					quoment 										un 	des 				valats 	que 	son 	ai 		vos 		gaiges				.
17-fran-1270	19	. 		Y 		ne 					seu 		pez 		digne 		astour 		d’			être 	appella 			veute 	"boube
            "			trate 										me 			mâque 		comment 										un 	de 		veus 		valas											.
18-fran-1270	19	. 		Y 		ne 					su 		pé 		digne 				d’			etre 	appella 			veute 	affant 	; 		"trâtîe
            "										me 					quement 										in 	de 		veus 		volots											.
19-fran-1270	19	. 		Je 		ne 					sent 		pu 		digne 				d’			etre 	eppella 			votre 	fé 	; 		recevet										me 					quement 										un 	de 		vos 		vôlots											.
20-fran-1270	19	. 		I 		n’					seu 		pà 		deigne 		estheure 		d’			être 	èpelê 			vont	gaichon	, 		treitâ									-	me 		don 			coument 									l’	iun 	d’		vôs 		vôlo											.
21-fran-1270	19	. 	Et 	i 		ne 					seû 		pu 		daigne 				d’			etre 	aippellai 			votre 	fils	",
            "		traitai									-	mai 					com 										ein 	des 				vauleu 	que 	sont 	à 		vos 		gaiges				.
22-fran-1270	19	. 	Et 	y 		ne 					seu 		pas 		deigne 							dêtre 	aippela 			vouete 	lis	, 		"traita
            "										me 					coume 									l’	un 	das 				sarviteurs 	que 	sont 	ai 		voues 		gaiges				.
23-bour-1247	19	. 		Y 		ne 									mairite 	pu 			d’			eitre 	aipelé 			voute 	flot 	: 			y 	"me
            "	trouros 	ben 	contant 	chi 	vous 	vleint 		me 				regairder 	comme 									l’	ein 	de 		"vos
            "		valots											.
24-poit-1241	19	. 		Y 		ne 									m’rite	pus 			d’			êtr’	appella 			voir’	afan 	: 		suffreis 										"me
            "					tan 	quiltement 						avec 						votraîs 		valé											.
26-poit-1241	19	. 		I 		ne 					seux 		pus 		digne 				que 	vous 	me 		noumiez 			vout 	fail 	";
            "		fasez 										me 					couine 							à 			in 	dez 				valet 	qui 	sont 	à 		vos 		gages				.
29-poit-1241	19	. 		I 		ne 					seus 		pas 		digne 				d’			être 	noumé 			voutre 	feuil 	; 		"traitez
            "										me 					coume 										in 	de 		vos 		valet											.
30-poit-1241	19	. 		Je 		ne 					seu 		pas 		digne 				d’			eytere 	appelé 			voutre 	gouya	",
            "		traité 										meu 					coume 										un 	dey 				valets 	que 	son 	a 		voutrey 		gages				.
