1-stan-1290	22	. 	Alors 						le 	père 			dit 		à 		ses 	serviteurs 						: 								apportez 						promptement 					"la
            "	plus 	belle 	robe 										et 		l’	en 	revêtez 							; 	et 				mettez	-	lui 		un  	anneau 				au 	doigt 				et 				des 	"souliers
            "	aux 			pieds 				;
2-auve-1239	22	. *— 	Adonca 						lou 	paire 			diguét 		à 		soui 	doumestiques 						:  								pourta 		dy 				"viste
            "	sa 		priméïra	, 	sa 	pe 	brava 	raouba									, 					bestié  				lou			, 					bouta 		dy 		én 	anér 				à 	soun 	det		, 	é 				"de
            "	tzahrsas 	as 			péz				.
3-wall-1255	22	. 							Li 	père 			houk 				ses 	vârlets 		et 	les 	y 	dit 	: 		abeye 		qu’	"on z’
            "			aporte 							li 		prumyre 					robe 										et 	qu’	on 	ly 	mousse							, 		qu’	on	ly 	mette 				ine 	bague 				"è
            "	s’	deugt 			et 				des 	solés 	d’vins 		ses 	pys				.
4-wall-1255	22	. 	Mais 						l’	pere 			diha 		atou 		ses 	siervans 						: 								appoirto 						"bin vite
            "					su 	pu 	belle 	robe 										et 				tapo 				li 	so l’coir 			et 				metto 		lî 		onne 	bague 				o 		deut 			et 				des 	"solés
            "	èze 			pîs				.
5-wall-1255	22	. 							Li 	père 			dit 	aloors 	à 		ses 	vaurlets 						: 		allez 						quaire 											"les
            "	pus 	bias 	habiemains 										et 				mettos 		les 		li 	su l’couare		, 					mettos 		li 		one 	bague 				à 	s’	"doigt
            "			et 				des 	solés 	dains 		ses 	pis				.
6-wall-1255	22	. 	Et 						l’	pée 			dit 		à 		ses 	varlets 						: 		Allez 			vos 	ein 	"bien rade
            "	querre 											m’	pus 	belle 	casaque 									; 					rachemez 				le 		bié 	; 					boutez 		li 		ein 	anniau 				à 	s’	"doigt
            "			et 				des 	solers 	à 		ses 	pieds				.
7-camb-1242	22	. 	Adonc 						ch’	père 			di 		à 		ses 	varlets 														Apportez 							s’		"première
            "					casaque 										et 				mettez 				li 	sus sin dos		. 					Mettez 		li 		in 	inniau 				à 	sin 	daut 			et 				"des
            "	soilers 	à 		ses 	pieds				.
8-arto-1238	22	. 	Pou lors 						sain 	père 			crie 		à 		ses 	varlets 						: 		"Marchéz
            "					rad’main	querr’							ess’		première 					cazaque									,	et 				mettez	-			li 	dains sain dos 			"et
            "				mettez	-	li 		ain 	anieau 				dains 	sain 	douo 			et 				des 	séoleyes 	dains 		ses 	pieds				.
9-arto-1238	22	. 	Mais es 						che 	père 			dit 		à 		ses 	varlets 						: 								apportez	-	li 				"acheteur 
            "	es		prémière 					baïette 									; 									’ 								mettez 		li 	aussi 	un 	ongniau 				én 	sén 	do 			et 				"des
            "	sorlets 	én 		ses 	pieds				.
10-arto-1238	22	. 	Alor 						l’	pére 			dit 		a 		ses 	gins 						: 		alez 					vite 	quére 							s’		"premiére
            "					robe 										et 				fourez 				li 	su sin dos 		; 					mettez 		ly 		un 	aniau 				au 		douët 			et 				dés 	solés 	à 		"ses
            "	pieds				.
11-wall-1255	22	. 	Alors 						l’	per 			déjo 		à 		se 	vaurlets 						: 	Dépéchéz 	aly 						"epporlé
            "											la 	pé 	bel 	rob 										e 		l’		habillio 							; 	e 				metto 		ly 		in 	énai 				ou 		doi 			e 				dé 	solé 	ou 			pi				.
12-lorr-1242	22	. 	Aussé-tou 						le 	pairre 			ai dé 		et 		sés 	valots 						: 								epteu 			"
            "			ben vite 	se 		premire 					roube									,	et 				reveteu 				l’	en		, 	et 				motteu 		li 		ainne 	beque 				au 		deue		, 	"et
            "				des 	soulaye 	et 		ses 	pits 				:
13-lorr-1242	22	. 	Alors 						lo 	pere 			deheu 		è 		ses 	valats						. 								Apoutios 							sè 		preumere					robe									, 					hebio 				lo			; 	è 				matos 		li 		eune 	bague 				a 		doïe		, 	et 				des 	soles 	è 		"ses
            "	pieux				.
14-lorr-1242	22	. 	Estour	, 					lo 	père 			djet 		é 		ses 	valais 						: 								épotième 						"tôt d’seute 
            "					lè 	pu 	belle 	robe 										et 				matet 				li			, 	et 				matet 				ein 	éné 				è 	set 	doie		, 	et 				"des
            "	solets 	è 		ses 	pies				.
15-lorr-1242	22	. 	Aussiteu 						lo 	père 			dehé 		e 		se 	vaula 						: 			et 					portet 						vicma 	"set
            "		premere 					reube 										et 				vestet 				lo 				et 				mattet 		li 		enne 	baugue 				o 		dau 			et 				dé 	solles 	e 		"sé
            "	pie				.
16-alem-1243	22	. 	Alor 						lo 	père 			die 		ai 		ses 	valais 						: 								Aippoichai 						"de cheute
            "	sai 		primire 					robe 										et 		l	in 	reveli 								et 				botai 		y 		enne 	baigue 				a 		doigt 			et 				ses 	solais 	"es
            "			piès				.
