1-stan-1290	29	. 			il 						lui 		fit cette réponse 																				: 					Voilà 							déjà 	tant 			d’		années 		que  	je 			"vous
            "	sers									, 		et 					je 	ne 	vous 	ai 														jamais 	désobéi 		en 	rien 		de  					ce 		que 	vous 	m’	avez 	commandé		; 	"et
            "		cependant 			vous 				ne  		m’		avez 			jamais 						donné 					un 		chevreau	, 	pour 			me 			réjouir 	avec  	"mes
            "	amis 		;
2-auve-1239	29	. — 					l’	éina 										diguét 							à 	soun 	paire						: 					Atio 							dedza 	bien  			d’		annadas 		"que
            "	d’ïou 			voui 	serve 										san 								voui 																desplaïre																		, 	é 				tzamai 							m’		avéz 	voui 								dounat 					én 		tzabri 		per 			"me
            "			regalat 	ambe  	mous 	camaradas 		?
3-wall-1255	29	.			I 													dit 							à 	s’	père 						: 								I 	gnia 				ottant 			d’		annaies 		qui 	ji 			v’	"sieve
            "										sins 								vz	avu 														jamâie 	manqué 																			et 					vos 				n’				mavez 			co mâïe 						dné 					on 		biquet 		pos 						gusté 	"avou
            "	mes 	camârades		.
4-wall-1255	29	.	Mais 				l’	fils 					responda 												atou 	s’	pere 		et 	s’	li 	diha 	: 					"Volà
            "								tant 			d’		années 		qu	j’				ouverre 			porr 	vos					; 		et 					j’	n’		a 														jamais 	manki 					d’	fé 				çou 		qu’	"vos
            "	m’	avo 	kmandé		, 	et 					vos 				n’				mavo 			jamais 						dné 					on 		biquet 		po 						magni 	avou 	mes 	camarades		.
5-wall-1255	29	.	Mais 						ç’tici 				respondant 					dit 							à 	s’	pére 						: 					Vola 						d’	dja 	ostant			d’		années 		qui 	dji 			vos 	sieds									, 		et 					dji 	n’	vos 	a 														"jamais
            "	manqué																		, 	et 					vos 				n’				mavos 			jamais 						donné 	tant 	seulmaunt 			on 		boc	, 	po 			m’			regaler 	"avou
            "	mes 	camarades		.
7-camb-1242	29	.			Il 						ly 		a répondu 									insin 											: 					V’Ià 											d’		innées 		ki 	j’			"vos
            "	sers									, 							je 	n’	vos 	ai 														jéamais 	désobaï 		in 	rin 		d’					choù 		k’	vos 	m’	avez 	k’mindé			et 		maugré cha   			vous 				n’		m’		avez 			jéamais 						donné 					in 		maguet 		pou 			m’			divertir 	aveu 	mes 	comarades		.
8-arto-1238	29	.			I 						li 		o résspliqué																				: 					V’lo 								"pécho par nombre
            "			d’		éans 		qu’	ech’			vous 	sers 											et 				jamoüé 	j’	naye 																	r’buté-yé 		à 	"nu
            "		d’				tous 				vous 			c’maindemaints		. 	O 		n’mez pou ch’											lo 			jamoué 						Baillé-ye					ain 		cabry 		per 			"mi
            "	m’		régaler 	aveu 	mes 	Comarates		.
9-arto-1238	29	.	Mé 		il 								a  répondu 												à 	sén 	père 						: 								Y 	n’y a				si longtems 	"men
            "	père 					qué 	j’			vo 	sers 										sans 				que 		j’		vos 	euche 															manquié 																			et 		portant 			vo 				n’		m’		avez 		mi 	"jommé
            "						donné 		seulmén 			un 	ptiot 	magué 		pour 			m’			enbognier 	aveuc 	mes 	azamisses		.
10-arto-1238	29	.			Il 						ly 		fit chel réponse 																				: 					V’ia 							déjà 	autant 			d’		"anées
            "		queussu 			à 	vous 	servire 											et 					jen	ne 	vous 	ai 	jamais 	pardu 	l’respect 	in 	rien	, 	j’    		ai   	tondis 	fait 																que 	vous 	m’	avez 	queumandé		. 			Quoique cha 	, 		vous 				ne 		m’		avez 		mi 	"jamais
            "						baillé 					une 		chève 		pour 			m’			régaler 		mes 	comarades		.
11-wall-1255	29	.		Vouci com 	y 						ly 		e respondeu 																				: 					V’la 							d’ja 	"tou plin
            "			des		ennées 		que 	j’			vou 	serv 																je 	n’	vou 	za 														jame 	d’sobéi 		à 	rin 		de 					s’		qué 	v’	m   	avi	coumandé		, 	é 		pourtan 			vou 				n’				most 			jama 						bay 					in 		chaivrot 		pou 			m’			rejoui 	avet 	mé 	ami 		;
12-lorr-1242	29	.			Y 						li 		repondeu 									cecé 											: 					Vélai 							déjait 	tant 			d’		ennaye 		qué 	"je
            "			ve 	ser									, 		et 					je 	ne 	v’	as 															désobéi 		en 	rin 		de 					ce 		qué 	vé 	m’	éveu 	coumandaye		, 	"et
            "		pourtant 			vé 				ne 		m’		eveu 			jéma 						beilli 					ain 		baiquain 		pou 			me 			divertir 	aivot 	mes 	"aimis
            "		:
