1-stan-1290	31	. 	Alors 	le 		père 	lui 	dit 				: 		mon 	fils									, 						vous 		êtes 	toujours  		avec 	moi	",
            "	et 	tout 	ce 		que 						j’		ai 						est 			à 	vous 			;
2-auve-1239	31	. — 		Lou 		païre 		respoundeguét 				: 		Moun 	fir									, 						tu 		zés  	toudzour 		ambe 	dïou	",
            "		tout 	ço 		que 						zéï 								es 				tiéou			.
3-wall-1255	31	.		Li 		père 	ly 	dit				: 		M’	fils 																	fes 	todi 		avou 	mi 		et 		çou 		qu’		"est
            "	d’a	menne 										est 			d’a	tonk			,
4-wall-1255	31	.	Mais 	s’		pere 	li 	diha 				: 		Mu 	fils 															vo 		esto 	todi 		avou 	mi 		"et
            "	to 	çou 		k’						ja 							c’	est 			da 	vos			.
5-wall-1255	31	.	Mais 	s’		pére 	li 	dit				: 		Mi 	fils									, 						vos 		estos 	todi 		avou 	mi 		"et
            "	tos 	ç’		qui 						dj		a 						est 			sta	vos			.
7-camb-1242	31	.		Ch’		père 	li 	dit 				: 		Min 	fins 															vos 		êtes 	toudis 		aveu 	mi 		"et
            "	tout 	chou 		k’						jai 								est 			à 	vous 			;
8-arto-1238	31	.	Su ch propos lo 	l’		père 	li 	dit				: 		Main 	fiu 												toudi 	es 		"tu
            "					aveu 	mi 		et 	tout 	chou 		q’	ch’	est 	à 	mi	, 								ch’	est 			à 	ti 	ytout		.
9-arto-1238	31	.		Sen 		père 	li 	dit				: 		Men 	fiu 							pour 	ti 									fest 	toudi 		aveuc 	mi 		"et
            "										gnia 		mi 		ren 	qui 	n’		suche 			à 	ti			.
10-arto-1238	31	.	Alor 	che 		père 	ly 	dit 				: 		Min 	fieu									, 						oz’		éte 	toudis 		"aveuc que
            "	mi	, 	et 	tou 	che 		qui 		est 	à 	mi 										est 			a 	ti			.
11-wall-1255	31	.	Alost 	l’		per 	ly 	di 				: 		Me 	fi									, 						vous 		étot 	toudi 		avet 	mi 		"é
            "	tou 	s’		qué 						j’		a 						é 			à 	vo			.
12-lorr-1242	31	.	Pou le caut 	le 		pairre 	li 	ait dé				: 		Mon 	offan									, 						v’		"oteu
            "	toujou 		aivaut 	mé	, 	et 	tout 	ce 		que 						j’		a 						ost 			de 	vot 			;
13-lorr-1242	31	.		Lo 		pere 	li 	diheu 				: 		mo 	feu									, 						vos 		ates 	tojos 		avou 	meu	, 	"et
            "	torto 	ci 		que 						j’		a 						a 			è 	vos			.
14-lorr-1242	31	.	Estour 	lo 		père 	li 	djet 				: 		mo 	gachon									, 						ta 			tojo 		èvo 	mi 		"et
            "	tortot 	c’		que 						jè 								at 			por 	ti 			;
15-lorr-1242	31	.	Et 	lo 		père 	li 	dehé 				: 		Mo 	fé 															vo 		sau 	toton 		etvo 	mi 		et 	torto 	sou 		que 						j’		a 						a 			et 	vo			.
16-alem-1243	31	.	Et 	lo 		père 	diait					: 		Mon 	fils 															vos 		etié 	aide 		aivos 	moi 		"et
            "	to 	ço 		qui 								ai 						a 			ai 	vos			.
17-fran-1270	31	.	Et 	lo 		paire 	ly 	disjit 				: 																		Vos 		ates 	tosje 		avû 	moi 		"et
            "	to 	ce 		qu’						y 		ah 						at 			à 	vos			.
18-fran-1270	31	.	Ma 	lo 		pere 	li 	diji 				: 		Mon 	affant									, 						t’		é 	toge 		avo 	moi 	; 	"a
            "	tôt 	ce 		qu’						i		a	, 					o 			à 	toi			.
20-fran-1270	31	.		Lou 		pare 	li 	dizét 				: 		Mon 	gaichon						, 	pou 	vô	, 						v’s		"eiles
            "	toûjou 		d’èveu 	moi	, 	et 										i 	n’	â 		ran 	que 	n’		seu			-t-ei	vô			.
21-fran-1270	31	.	Taut de suite  	le 		pere 	ly 	disai				: 		Mon 	gasson									, 						vou 		"ete
            "	taujô 		aiveu 	mo 		et 	tant 	ce 		que 						j’		ay 						a 			est 	vous			.
22-fran-1270	31	.	Ailoé 	lou 		père 	li 	diset				: 		Mon 	fis 															vous 		êtes 	"toujoue
            "		aivoue 	moi 		et 	tout 	ce 		qu’						y 		a 						ot 			ai 	vous			.
23-bour-1247	31	.	Ai celai 	le 		père 	ly 	dié 				: 		Mon 	fiot									, 						téz 			tous las zors		aitouts 	moi 		et 	tout 	ce 		qu’						y 		ait 						ot 			ai 	toi			.
24-poit-1241	31	.		Le 		paire 	li 	dissé				: 		Moun 	afan 															v’		eiteiz 	trejour 		avec 	"mêy
            "		é 	tou 	quo 		qu’						i 		ais 						est 			pre 	vou			.
26-poit-1241	31	.	En tcheux temps 	le 		père 	li 	dicit 				: 		Mon 	fail 															t’		ez 	tre-jout 		avec 	moué 		et 	tôt 	tcheu 		qu’						i 		ai 						est 			à 	té 			;
29-poit-1241	31	.		Son 		pere	li	dicit				: 		Mon 	feuil						, 	pre 	toi 							t’		as 	trejou 	"demeuré
            "	avé 	moi 		et 										i 	n’	ai 		renn 	chi 	ne 						t’		appartins-je	.
30-poit-1241	31	.												Mon 	gouya	, 	ly 	dissit 	son 	pere				, 						vou 		sé 	toujours 		avé 	"moué
            "		et 	tou 	ce 		que 						j’		ay 						ey 			à 	vous			.
31-limo-1246	31	.	Aladon 	son 		père 	ly 	dicit 				: 		Mon 	ménage									, 						t’		es 	"tonjoure
            "		dan 	moué 		ét 	tout 	san 		que 						j’		ai 						est 			à 	toué			.
33-limo-1246	31	.		Lou 		pay 	ly 	reypondé 				: 		Moun 	fis									, 						tu 		tés 	toudjour 		"coumo
            "	mé 		et 	tout 	quo 		que 						y 		aï 						ey 			a 	té			.
34-lang-1309	31	.	Endoun 	lou 		païré 	i 	diguoit 				: 		Moun 	fil									, 								ses 	toutzour 		"en
            "	io	, 	et 	tous	so		qué 								aï 						es 			o 	vous			.
35-limo-1246	31	.		Lé 		pairé 	li 	dissé 				: 		Moun 	éfan									, 						vou 		sé 	toujour 		avaqué 	"mé
            "		é 	tou 	quo 		qu’						i 		ais 						é 		bé 	per 	vou			.
36-limo-1246	31	.	Mais 	lou 		paï 	ly 	disset				: 			piti									, 						tu 		sés 	toujours 		coumo 	"mé
            "			tout 	cé 		qué 						y 		aï 						eï 				teû			.
37-limo-1246	31	.		Mou 		paï 	ly 	dissé 				: 		Moun 	fis									, 						vous 		sés 	toujour 		coumo 	"mé
            "		et 	tout 	cé 		qué 						yau 		aï 						ei 			a 	vous			.
38-auve-1239	31	.		Son 		payre 	li 	digué 				: 																		Vous 		avés 	tourdzou 	eïta 	embei 	ïau	",
            "											ïau 	n’	eï 		ré 	que 			chatze 				votre			.
39-lang-1309	31	.	Mais 	lou 		païre 	li 	diguet 				: 		Moun 	lil 															tu 		es 	tauxiour 		"omme
            "	iou 		et 	tout 	o		quo 				mieou 										es 				tieou			.
40-lang-1309	31	.		Sou 		pèro	li 	diguel 				: 		Moun 	fil 							per 	bous	, 						s’		ès      	touchour		ombe 	iou	, 	é 										iou 	n’	ai 		rès 	que 	noun 		siasco 			o 	bous			.
41-lang-1309	31	.	Més 	lou 		païre 	ye 	diguec				: 		Moun 	fil 															tu 		es 	toujour 		ambe 	"io
            "		e 	tout 	ço 		qu’								é 										t’		apparten	.
42-limo-1246	31	.	Mé 	aqueste 			ly 	dissut 				: 		Moun 	gouyat									, 						tu 		es 	"toujour
            "		abéque 	jou 		é 	tou 	mous 	biens 															soun 			à 	tu			.
43-gasc-1240	31	.												Moun 	hil	, 	s’	aou digouc 	lou 	pay				, 						tu 		qu’es	toutjour 		"dambe
            "	jou	, 	é 	tou 	ço					-de-	men 							qu’			ey 	ço 		de 	toun			.
44-lang-1309	31	.	Mes 	el 			i 	diguec 				: 		Moun 	fill 															tu 		es 	tout joun 		ambe 	jou 	";
            "	é 	tout 	ço 		qu’		es 		miou 										es 				tiou			.
45-lang-1309	31	.	Mes 	ech 		pay 	ly 	dizec 				: 		Mou 	hill 	! 														tu 		es 	toustem 		dam 	"jou
            "		et 	tout 	ço 		qu’		è 		mieü 										è 				tieü			.
46-lang-1309	31	.	Alabèts 	le 		payrè 	ly 	diguèc 				: 		Moun 	fil									, 						bous 		èls 	toutchoun 		ambè 	yeou 		et 	tout 	so 		què 								poussèdi 						ès 				bostré			.
47-lang-1309	31	.	Mes 	le 		paire 	ly 	digueg				: 		Mon 	fil 															tu 		es 	touchou 		ambe 	"yeu
            "		et 	tout 	ço 		que 		es 		mieu 										es 				lieu			.
48-lang-1309	31	.	Mes 	le 		paire 	ly 	digueg 				: 		Mon 	fil									, 						tu 		es 	touchou 		"ambe
            "	yeu 		et 	tout 	ço 		que 		es 		mien 										es 				tium			.
51-lang-1309	31	.	Alabéts 	soun 		païré 	y 	respoundec 				: 		Mou 	fil 															tu 		"es
            "	toujours 		àmé 	yeoù	, 	et 	tout 	so 		qué 								eï 						es 				téoù			.
52-lang-1309	31	.	Alors 	lou 		païre 	li 	diguet 				: 		Moun 	effan 															tu 		sios 	toujour		ambe 	yeou 		et 	tout 	ce 		que 								aï 						es 				teou			.
54-lang-1309	31	.	Alaro 	lou 		païré 	li 	dgiuet 				: 		Moun 	fil									, 						tu 		sies 	"toujous
            "		ambé 	ieû	, 	et 	tout 	ço 		qu’								ai 										t’		appartén	.
55-lang-1309	31	.	E 	soun 		pero 	li 	diguét 				: 		Moun 	fil 															lu 		sios 	tougeour 		"enbè
            "	ieou 		é 	tout 	cè 		què 								aï 						ès 				tiou			.
56-lang-1309	31	.		Soun 		pèra 	yé 	diguet				: 		Moun 	fil	, 						per 	vous	, 						vous 		"ses
            "	toujour 		enbé 	yeou 		é 											n’	ai 		pas rés 	qué 	noun 		siéyé 			à 	vous			.
57-auve-1239	31	.		Lou 		paire 	lli 	diguet 				: 		Chias 																			toudzour 		embe 	ioou 		et 	"tout
            "	ce 		que 						z’		ai 						es 				tioou			.
58-viva-1235	31	.		Soun 		pèro 	li 	digué				: 		Moun 	garçou 							per 	vous 									ces 	"tougeou
            "		aoubé 	ieou	, 	é 											n’	aï 		rieon 	qué 	noun 		siagé 				voustré			.
59-viva-1235	31	.	Alor 	lou 		peire 		dissiguait 				: 			Garçou	, 														ti 		suis 	"toujours
            "		aubé 	mi 		et 	toutes 	mes 	véïas 															sountz 			par 	ti			.
