geonames,place_type,mot,longitude,latitude
2792413,settlement,va,5.56749,50.63373
2791834,settlement,alla,6.02794,50.42686
2660463,settlement,alla,7.08207,46.58338
2661513,settlement,alla,7.24608,47.13713
2790471,settlement,Est stevooïe,4.86746,50.4669
2790869,settlement,part,3.95229,50.45413
3029030,settlement,partir,3.23472,50.17596
3036784,settlement,So ainvoye,2.78186,50.29301
2977845,settlement,s’ala,2.26091,50.74834
2989497,settlement,S’en ait ennolaye,5.96915,49.01665
2970530,settlement,San alet,6.05622,48.41692
3016274,settlement,n’allé,6.87787,48.07346
3038012,settlement,s’inallai,7.23954,47.62417
3015958,settlement,Son arra,6.82733,47.74272
2969562,settlement,S’en èlèt,6.14251,47.62604
3027082,settlement,S’en allai,5.51539,47.61525
3033123,settlement,S’en ollait,6.01815,47.24878
2991652,settlement,S’an ailé,4,47.08333
3023919,settlement,S’an vais,0.67195,46.01311
2968866,settlement,S’en onguai,0.27923,45.48254
2980340,settlement,S’en allit,-0.63489,45.74742
2968866,settlement,S’an ulit,0.27923,45.48254
2993209,settlement,Se n’anguit,0.08063,44.65057
3008042,settlement,s’allugnit,0.06097,44.55834
2968866,settlement,Lou parti,0.27923,45.48254
2990140,settlement,se retiré,0.66168,45.52957
2976007,settlement,S’en onguait,1.21656,44.88902
3023919,settlement,décampé,0.67195,46.01311
3013719,region,s’en onet,1.21781,45.88341
2976546,settlement,S’en ané,1.20329,45.5145
2990363,settlement,S’en ané,4.35788,43.83665
3029256,settlement,S’en ané,5.37339,43.735
2981816,settlement,sé né,3.10788,45.669
3036016,settlement,loun portit,2.43983,44.92539
3006979,settlement,Partit,-0.03857,44.58239
3016194,region,s’en anec,0.45422,43.71731
2988670,settlement,s’en anec,1.61079,43.1165
2979657,settlement,s’en anec,1.14587,42.98491
3013767,region,s’èn anguèc,1.22191,43.38724
3018174,settlement,s’en aneg,1.60705,42.96535
3041565,region,s’en aneget,1.58333,42.55
2984885,region,fugi,2.58889,42.60075
3028641,settlement,s’én anéc,2.34863,43.21649
2997936,settlement,S’en anet,3.31959,43.73178
2995469,settlement,S’en anet,5.38107,43.29695
2973362,region,anet,2.16317,43.7817
2971053,settlement,anet,4.90956,44.9256
2997288,region,s’en anét,3.5,44.5
3002465,settlement,s’en anet,3.88523,45.04366
2995469,settlement,s’en anet,5.38107,43.29695
3037514,settlement,s’ein allait,4.6707,45.23992
3035681,settlement,s’ané,4.80892,43.94834
3021435,settlement,S’én fugué,5.37033,44.7536
3016702,settlement,S’en anec,6.07868,44.55858
2660851,settlement,L‘é zelâ,6.8465,46.84876
2659601,settlement,s’en alla,6.91143,46.43301
2974661,settlement,s’ën anë,6.35634,44.35042
2660904,settlement,eis i,10,46.5
3038224,settlement,S’ën ané,4.08082,44.12489
