geonames,place_type,mot,longitude,latitude
2993209,settlement,Combien,0.08063,44.65057
3008042,settlement,Combien,0.06097,44.55834
2792413,settlement,Kibin,5.56749,50.63373
2791834,settlement,Kwantes,6.02794,50.42686
2790471,settlement,Combain d’,4.86746,50.4669
2790869,settlement,Combié,3.95229,50.45413
3029030,settlement,Combin,3.23472,50.17596
2969562,settlement,Combin,6.14251,47.62604
3036784,settlement,Kaimbien qu’,2.78186,50.29301
2977845,settlement,Combien esche qu’,2.26091,50.74834
2989497,settlement,Combain,5.96915,49.01665
2970530,settlement,Combie,6.05622,48.41692
3016274,settlement,Labé qué,6.87787,48.07346
3038012,settlement,Cobin,7.23954,47.62417
3015958,settlement,Cobin,6.82733,47.74272
2970401,settlement,combie d’,6.09773,47.92159
3027082,settlement,Combé,5.51539,47.61525
2968866,settlement,Combé,0.27923,45.48254
2990140,settlement,Combé,0.66168,45.52957
3033123,settlement,combin,6.01815,47.24878
2991652,settlement,comben,4,47.08333
3023919,settlement,Camb’,0.67195,46.01311
2980340,settlement,qu’,-0.63489,45.74742
2968866,settlement,Ouilla,0.27923,45.48254
2995854,settlement,Combenn,-1.10514,45.82268
2968866,settlement,combé,0.27923,45.48254
2976007,settlement,can,1.21656,44.88902
3023919,settlement,Cambé,0.67195,46.01311
2976546,settlement,cambé,1.20329,45.5145
2983154,settlement,quontes,2.57338,44.35258
2993002,settlement,Quantis,1.3542,44.01759
3016194,region,Quantis,0.45422,43.71731
2973362,region,Quantis,2.16317,43.7817
3006979,settlement,Coumbien,-0.03857,44.58239
2988670,settlement,Quant de,1.61079,43.1165
2979657,settlement,Qüant de,1.14587,42.98491
2984885,region,Quans,2.58889,42.60075
3028641,settlement,què,2.34863,43.21649
2995469,settlement,Quant,5.38107,43.29695
2971053,settlement,Quant,4.90956,44.9256
2997936,settlement,Quanses,3.31959,43.73178
2997288,region,Quontos,3.5,44.5
3002465,settlement,Quand,3.88523,45.04366
2985290,settlement,Quon,4.59918,44.735
3037514,settlement,Quan,4.6707,45.23992
3035681,settlement,Quan,4.80892,43.94834
3029603,settlement,Quan,5.27187,44.27647
3029256,settlement,Quan,5.37339,43.735
3016702,settlement,Quan,6.07868,44.55858
2660646,settlement,Quan,6.14569,46.20222
2990363,settlement,Can,4.35788,43.83665
6431469,settlement,Që,4.41972,44.0125
3021435,settlement,Qué,5.37033,44.7536
2658864,settlement,Guéro,7.0032,46.21826
2661017,settlement,quants,7.11693,47.11342
2660904,settlement,Quants,10,46.5
3028382,settlement,Quan-,6.51283,43.84707
