geonames,place_type,mot,longitude,latitude
2977845,settlement,deux,2.26091,50.74834
3027082,settlement,deux,5.51539,47.61525
2991652,settlement,deux,4,47.08333
2980340,settlement,deux,-0.63489,45.74742
3006787,settlement,deux,-1.15222,46.16308
3005839,settlement,deux,2.26825,43.18428
2995854,settlement,deux,-1.10514,45.82268
2792413,settlement,deux,5.56749,50.63373
2791834,settlement,deux,6.02794,50.42686
2790471,settlement,deux,4.86746,50.4669
2790869,settlement,deux,3.95229,50.45413
3029030,settlement,deux,3.23472,50.17596
2997384,settlement,deux,5.36264,43.76385
2990109,region,deux,,
3028486,settlement,deux,2.95815,50.49235
2993209,settlement,deu,0.08063,44.65057
3008042,settlement,deu,0.06097,44.55834
2989497,settlement,daoz,5.96915,49.01665
3038012,settlement,doux,7.23954,47.62417
2970401,settlement,doux,6.09773,47.92159
2990140,settlement,doux,0.66168,45.52957
2976546,settlement,doux,1.20329,45.5145
2993002,settlement,doux,1.3542,44.01759
3029603,settlement,doux,5.27187,44.27647
3021435,settlement,doux,5.37033,44.7536
2661035,settlement,doux,7.34453,47.36493
2661092,settlement,doux,7.07236,47.17822
2659568,settlement,doux,7.36951,47.27818
2970530,settlement,dou,6.05622,48.41692
3016274,settlement,dou,6.87787,48.07346
3015958,settlement,dou,6.82733,47.74272
3005839,settlement,dou,2.26825,43.18428
2981816,settlement,dou,3.10788,45.669
2660851,settlement,dou,6.8465,46.84876
2660646,settlement,dou,6.14569,46.20222
2976007,settlement,dous,1.21656,44.88902
3013719,region,dous,1.21781,45.88341
3036016,settlement,dous,2.43983,44.92539
2983154,settlement,dous,2.57338,44.35258
2988670,settlement,dous,1.61079,43.1165
3013767,region,dous,1.22191,43.38724
3018174,settlement,dous,1.60705,42.96535
3028641,settlement,dous,2.34863,43.21649
2997936,settlement,dous,3.31959,43.73178
2973362,region,dous,2.16317,43.7817
2997288,region,dous,3.5,44.5
2992166,settlement,dous,3.87635,43.61093
3002465,settlement,dous,3.88523,45.04366
2985290,settlement,dous,4.59918,44.735
3037514,settlement,dous,4.6707,45.23992
2990363,settlement,dous,4.35788,43.83665
2995469,settlement,dous,5.38107,43.29695
2970749,region,dous,6.29145,43.4586
3035681,settlement,dous,4.80892,43.94834
2989819,settlement,dous,5.14052,44.36082
2971053,settlement,dous,4.90956,44.9256
3016702,settlement,dous,6.07868,44.55858
2659601,settlement,dous,6.91143,46.43301
3038224,settlement,dous,4.08082,44.12489
3028382,settlement,dous,6.51283,43.84707
2995469,settlement,dous,5.38107,43.29695
3041565,region,dons,1.58333,42.55
6431469,settlement,dons,4.41972,44.0125
3029256,settlement,dons,5.37339,43.735
2974661,settlement,dons,6.35634,44.35042
2969562,settlement,dù,6.14251,47.62604
3033123,settlement,clou,6.01815,47.24878
3005839,settlement,doûe,2.26825,43.18428
3023919,settlement,doûe,0.67195,46.01311
3006979,settlement,dus,-0.03857,44.58239
3016194,region,dus,0.45422,43.71731
2979657,settlement,dus,1.14587,42.98491
2984885,region,dos,2.58889,42.60075
2658864,settlement,don,7.0032,46.21826
2660463,settlement,don,7.08207,46.58338
2661017,settlement,do,7.11693,47.11342
2661513,settlement,do,7.24608,47.13713
2660904,settlement,duos,10,46.5
2660904,settlement,duus,10,46.5
3036784,settlement,deeux,2.78186,50.29301
