id,mot,latitude,longitude
PerigueuxChancelade,dou,45.204633651169,0.666123365941642
PerigueuxChâteaulÉvêque,dou,45.2452966,0.6861762
PerigueuxPerigueux,dou,45.1909365,0.7184407
PerigueuxMarsacsurlIsle,dou,45.1858333,0.6619444
SavignaclesÉglisesLeParnet,dou,45.2609634342942,0.831286638859921
SavignaclesÉglisesSavignaclesÉglises,dou,45.2740403,0.9147818
SavignaclesÉglisesCubjac,dou,45.2226162,0.9402413
SavignaclesÉglisesLeChange,dou,45.1948394,0.8927535
ExcideuilSaintJorylasBloux,dou,45.3625982,0.9665802
ExcideuilSaintMartialdAlbarede,dou,,
ExcideuilSaintPantalydExcideuil,dou,,
ExcideuilGenis,dou,45.3259904,1.1624565
SaintPierredeChignacMilhacdAuberoche,dou,,
SaintPierredeChignacSaintLaurentsurManoire,dou,45.1474041,0.7947935
SaintPierredeChignacBoulazac,dou,45.1801801,0.7691334
VergtLacropte,dou,45.03633,0.83079
VergtSaintAmanddeVergt,dou,44.9868,0.6969
VergtFouleix,dou,44.98466,0.68049
VergtBreuilh,dou,45.0576209440928,0.757030011570386
SaintAstierMensignac,dou,45.2282951355517,0.561493527145112
SaintAstierManzacsurVern,dou,45.0852972,0.5871083
SaintAstierMontanceix,dou,45.150118,0.5744989
SaintAstierLeguillacdelAuche,dou,45.184683,0.556257
SaintAstierCoursac,dou,45.1297222,0.6394444
HautefortHautefort,dou,45.2594367,1.146062
HautefortTempleLaguyon,dou,45.2333715,1.1021427
HautefortChourgnac,dou,45.2367071,1.0598278
HautefortBadefolsdAns,dou,,
HautefortSainteEulaliedAns,dou,,
HautefortHautefortter,dou,45.2641429284034,1.14620263937124
HautefortGrangesdAns,dou,,
BrantômeAgonac,dou,45.29233,0.74936
BrantômeSaintFrontdAlemps,dou,,
BrantômeBussac,dou,45.2727953330928,0.607665854282268
BrantômeEyvirat,dou,45.3233756396582,0.753162968745019
BrantômeBiras,dou,45.28735,0.63853
ThenonLaBoissieredAns,dou,,
ThenonAjat,dou,45.15597,1.01583
ThenonAzerat,dou,45.1499525,1.1227156
ThenonSainteOrse,dou,45.2028136,1.075663
ThenonLimeyrat,dou,45.15983,0.98004
ThenonBrouchaud,dou,45.2058999,0.9985981
SalignacEyviguesSaintCrepinetCarlucet,dou,44.9605184,1.2731243
VillefrancheduPerigordPratsduPerigord,dou,44.69123,1.06629
TerrassonLavilledieuPazayac,dou,45.1214406,1.3788083
TerrassonLavilledieuGrezes,dou,45.1047625524283,1.36470648731209
TerrassonLavilledieuTerrasson,dou,45.12725558020806,1.3055338304557402
TerrassonLavilledieuPeyrignac,dou,45.1574825630669,1.19206539417888
TerrassonLavilledieuLaFeuillade,dou,45.1163922711478,1.39955069095761
TerrassonLavilledieuTerrassonbis,dou,45.12616555254855,1.3045038622194023
MontignacSaintLeonsurVezere,dou,45.010916,1.0893596
MontignacLesFarges,dou,45.1149548112066,1.1907140666456
MontignacPlazac,dou,45.0352048,1.0396967
MontignacThonac,dou,45.02172,1.1171
MontignacMontignac,dou,45.0631458711918,1.15546614119843
VillamblardSaintJeandEstissac,dou,,
VillamblardBeauregard,dou,44.9941775342369,0.644001818219512
VillamblardVillamblard,dou,45.0224081,0.5405512
