geonames,place_type,mot,longitude,latitude
2790471,settlement,donnez,4.86746,50.4669
2977845,settlement,donème,2.26091,50.74834
2989497,settlement,beilleume,5.96915,49.01665
2970530,settlement,beyem,6.05622,48.41692
3016274,settlement,denet,6.87787,48.07346
3038012,settlement,bayie,7.23954,47.62417
3015958,settlement,bayie,6.82733,47.74272
2970401,settlement,bayet,6.09773,47.92159
2659568,settlement,bayet,7.36951,47.27818
2976007,settlement,donna,1.21656,44.88902
2992166,settlement,donna,3.87635,43.61093
2985290,settlement,donna,4.59918,44.735
3035681,settlement,donna,4.80892,43.94834
2989819,settlement,donna,5.14052,44.36082
3029256,settlement,donna,5.37339,43.735
3038224,settlement,donna,4.08082,44.12489
2969562,settlement,beillia,6.14251,47.62604
3027082,settlement,Baillai,5.51539,47.61525
3033123,settlement,baillame,6.01815,47.24878
2968866,settlement,baillame,0.27923,45.48254
2991652,settlement,dounez,4,47.08333
3023919,settlement,baillaîs,0.67195,46.01311
2968866,settlement,donnas,0.27923,45.48254
2973362,region,donnas,2.16317,43.7817
2980340,settlement,baillez,-0.63489,45.74742
2995854,settlement,baillez,-1.10514,45.82268
2993209,settlement,baillez,0.08063,44.65057
3006787,settlement,partager,-1.15222,46.16308
2968866,settlement,donnés,0.27923,45.48254
2990140,settlement,donnés,0.66168,45.52957
2792413,settlement,diné,5.56749,50.63373
3008042,settlement,dounés,0.06097,44.55834
3023919,settlement,baillà,0.67195,46.01311
3013719,region,boillas,1.21781,45.88341
2976546,settlement,Dounâs,1.20329,45.5145
2981816,settlement,beila,3.10788,45.669
3002465,settlement,beila,3.88523,45.04366
3016702,settlement,beila,6.07868,44.55858
3036016,settlement,dounamme,2.43983,44.92539
2988670,settlement,dounamme,1.61079,43.1165
2791834,settlement,dunome,6.02794,50.42686
2983154,settlement,dounarme,2.57338,44.35258
2993002,settlement,dounas,1.3542,44.01759
2970749,region,dounas,6.29145,43.4586
3006979,settlement,baillé,-0.03857,44.58239
2658864,settlement,baillé,7.0032,46.21826
3036784,settlement,baillé,2.78186,50.29301
3016194,region,baillats,0.45422,43.71731
2979657,settlement,baillai,1.14587,42.98491
3013767,region,dounats,1.22191,43.38724
3018174,settlement,Dounax,1.60705,42.96535
3041565,region,dounax,1.58333,42.55
2984885,region,daü,2.58889,42.60075
3028641,settlement,dounatz,2.34863,43.21649
2997936,settlement,douna,3.31959,43.73178
3028382,settlement,douna,6.51283,43.84707
2995469,settlement,douna,5.38107,43.29695
2997288,region,douno,3.5,44.5
3037514,settlement,baillais,4.6707,45.23992
2790869,settlement,baille,3.95229,50.45413
2659601,settlement,baille,6.91143,46.43301
2990363,settlement,beïla,4.35788,43.83665
6431469,settlement,baila,4.41972,44.0125
2995469,settlement,dounai,5.38107,43.29695
3029603,settlement,Beylaï,5.27187,44.27647
2971053,settlement,bélâ,4.90956,44.9256
3021435,settlement,bèilè,5.37033,44.7536
3029030,settlement,donném,3.23472,50.17596
2660851,settlement,baliîde,6.8465,46.84876
2661017,settlement,do,7.11693,47.11342
2660646,settlement,Bailli,6.14569,46.20222
2974661,settlement,Douna,6.35634,44.35042
2660904,settlement,dom',10,46.5
2660904,settlement,da,10,46.5
2660463,settlement,baliîdè,7.08207,46.58338
2978645,settlement,bail'illez,0.65137,48.08975
2661513,settlement,baillie,7.24608,47.13713
2661092,settlement,baillie,7.07236,47.17822
2661035,settlement,baiyîe,7.34453,47.36493
3028486,settlement,doné,2.95815,50.49235
