geonames,place_type,mot,longitude,latitude
2792413,settlement,faim,5.56749,50.63373
2791834,settlement,faim,6.02794,50.42686
2790869,settlement,faim,3.95229,50.45413
2970530,settlement,faim,6.05622,48.41692
3016274,settlement,faim,6.87787,48.07346
2970401,settlement,faim,6.09773,47.92159
3027082,settlement,faim,5.51539,47.61525
3033123,settlement,faim,6.01815,47.24878
2991652,settlement,faim,4,47.08333
2980340,settlement,faim,-0.63489,45.74742
2968866,settlement,faim,0.27923,45.48254
2995854,settlement,faim,-1.10514,45.82268
2997288,region,fon,3.5,44.5
3002465,settlement,fon,3.88523,45.04366
2985290,settlement,fon,4.59918,44.735
3021435,settlement,fon,5.37033,44.7536
2790471,settlement,fouain,4.86746,50.4669
3036784,settlement,fon-ye,2.78186,50.29301
3028486,settlement,foin,2.95815,50.49235
2977845,settlement,faain,2.26091,50.74834
2989497,settlement,fé,5.96915,49.01665
3038012,settlement,fin,7.23954,47.62417
3015958,settlement,fain,6.82733,47.74272
2969562,settlement,fèim,6.14251,47.62604
3023919,settlement,fan,0.67195,46.01311
3023919,settlement,fan,0.67195,46.01311
2981816,settlement,fan,3.10788,45.669
2993002,settlement,fan,1.3542,44.01759
2997936,settlement,fan,3.31959,43.73178
2992166,settlement,fan,3.87635,43.61093
2990363,settlement,fan,4.35788,43.83665
6431469,settlement,fan,4.41972,44.0125
2989819,settlement,fan,5.14052,44.36082
3029256,settlement,fan,5.37339,43.735
2968866,settlement,fam,0.27923,45.48254
2968866,settlement,fam,0.27923,45.48254
3013719,region,fam,1.21781,45.88341
2976546,settlement,fam,1.20329,45.5145
2988670,settlement,fam,1.61079,43.1165
3013767,region,fam,1.22191,43.38724
3018174,settlement,fam,1.60705,42.96535
3041565,region,fam,1.58333,42.55
2984885,region,fam,2.58889,42.60075
2973362,region,fam,2.16317,43.7817
3037514,settlement,fam,4.6707,45.23992
2995469,settlement,fam,5.38107,43.29695
2970749,region,fam,6.29145,43.4586
3035681,settlement,fam,4.80892,43.94834
3029603,settlement,fam,5.27187,44.27647
2658864,settlement,fam,7.0032,46.21826
2661017,settlement,fam,7.11693,47.11342
2660646,settlement,fam,6.14569,46.20222
2993209,settlement,faing,0.08063,44.65057
3008042,settlement,fagn,0.06097,44.55834
2990140,settlement,fom,0.66168,45.52957
3036016,settlement,fom,2.43983,44.92539
2660904,settlement,fom,10,46.5
2976007,settlement,tolan,1.21656,44.88902
3006979,settlement,ame,-0.03857,44.58239
3016194,region,hame,0.45422,43.71731
2979657,settlement,hame,1.14587,42.98491
3028641,settlement,fâm,2.34863,43.21649
2971053,settlement,farn,4.90956,44.9256
3016702,settlement,famp,6.07868,44.55858
3028382,settlement,famé,6.51283,43.84707
