geonames,place_type,mot,longitude,latitude
3029030,settlement,faut,3.23472,50.17596
2977845,settlement,faut,2.26091,50.74834
2989497,settlement,faut,5.96915,49.01665
3027082,settlement,faut,5.51539,47.61525
3033123,settlement,faut,6.01815,47.24878
3023919,settlement,faut,0.67195,46.01311
2980340,settlement,faut,-0.63489,45.74742
3037514,settlement,faut,4.6707,45.23992
2970530,settlement,fa,6.05622,48.41692
3038012,settlement,v’iant,7.23954,47.62417
3015958,settlement,vions,6.82733,47.74272
2991652,settlement,peureint mezer,4,47.08333
2968866,settlement,fôs,0.27923,45.48254
2968866,settlement,faû,0.27923,45.48254
3008042,settlement,pedan mangé,0.06097,44.55834
2976007,settlement,cal,1.21656,44.88902
2983154,settlement,cal,2.57338,44.35258
3013767,region,cal,1.22191,43.38724
3023919,settlement,volein,0.67195,46.01311
2981816,settlement,voulan,3.10788,45.669
3018174,settlement,bolen,1.60705,42.96535
3041565,region,bolen,1.58333,42.55
3028641,settlement,boloun,2.34863,43.21649
2985290,settlement,sonobro,4.59918,44.735
2990363,settlement,voloun,4.35788,43.83665
2995469,settlement,an de besoun,5.38107,43.29695
3021435,settlement,voldun,5.37033,44.7536
3028382,settlement,carnet,6.51283,43.84707
