geonames,place_type,mot,longitude,latitude
2792413,settlement,fils,5.56749,50.63373
2976007,settlement,fils,1.21656,44.88902
3036016,settlement,fils,2.43983,44.92539
2791834,settlement,fils,6.02794,50.42686
2993002,settlement,fils,1.3542,44.01759
2988670,settlement,fils,1.61079,43.1165
3013767,region,fils,1.22191,43.38724
2973362,region,fils,2.16317,43.7817
2997288,region,fils,3.5,44.5
2661513,settlement,fils,7.24608,47.13713
2977845,settlement,éfans,2.26091,50.74834
2997936,settlement,éfans,3.31959,43.73178
3038224,settlement,éfans,4.08082,44.12489
11071621,region,éfans,0.49988,49.19906
3023919,settlement,afan,0.67195,46.01311
2989497,settlement,offans,5.96915,49.01665
3037514,settlement,afans,4.6707,45.23992
2970530,settlement,gâchons,6.05622,48.41692
3016274,settlement,fé,6.87787,48.07346
3038012,settlement,fés,7.23954,47.62417
2661035,settlement,fés,7.34453,47.36493
2661092,settlement,fés,7.07236,47.17822
3015958,settlement,boubes,6.82733,47.74272
2970401,settlement,guechons,6.09773,47.92159
2969562,settlement,gaichons,6.14251,47.62604
3027082,settlement,gassons,5.51539,47.61525
3033123,settlement,offants,6.01815,47.24878
2991652,settlement,renfans,4,47.08333
2968866,settlement,enfans,0.27923,45.48254
2968866,settlement,enfans,0.27923,45.48254
2992166,settlement,enfans,3.87635,43.61093
2995469,settlement,enfans,5.38107,43.29695
2970749,region,enfans,6.29145,43.4586
3029603,settlement,enfans,5.27187,44.27647
3028382,settlement,enfans,6.51283,43.84707
2995469,settlement,enfans,5.38107,43.29695
2980340,settlement,fait,-0.63489,45.74742
3006787,settlement,enfant,-1.15222,46.16308
2995854,settlement,enfant,-1.10514,45.82268
2993209,settlement,gouya,0.08063,44.65057
3008042,settlement,ménages,0.06097,44.55834
2968866,settlement,efan,0.27923,45.48254
2990140,settlement,fîs,0.66168,45.52957
3023919,settlement,éfan,0.67195,46.01311
3013719,region,droleis,1.21781,45.88341
2976546,settlement,fis,1.20329,45.5145
2985290,settlement,fis,4.59918,44.735
2981816,settlement,garçon,3.10788,45.669
2983154,settlement,effons,2.57338,44.35258
3006979,settlement,gouyatz,-0.03857,44.58239
3016194,region,hils,0.45422,43.71731
2979657,settlement,hils,1.14587,42.98491
3018174,settlement,gougeats,1.60705,42.96535
3041565,region,gougeats,1.58333,42.55
2984885,region,tills,2.58889,42.60075
2790471,settlement,garçons,4.86746,50.4669
3002465,settlement,garçons,3.88523,45.04366
2971053,settlement,garçons,4.90956,44.9256
3016702,settlement,garçons,6.07868,44.55858
2660646,settlement,garçons,6.14569,46.20222
3028641,settlement,mainachés,2.34863,43.21649
2790869,settlement,fieux,3.95229,50.45413
2990363,settlement,garçouns,4.35788,43.83665
3035681,settlement,garçouns,4.80892,43.94834
2989819,settlement,garçouns,5.14052,44.36082
6431469,settlement,efans,4.41972,44.0125
3029256,settlement,énfans,5.37339,43.735
3021435,settlement,éfons,5.37033,44.7536
3029030,settlement,fius,3.23472,50.17596
2658864,settlement,meniots,7.0032,46.21826
2660851,settlement,valè,6.8465,46.84876
2661017,settlement,bouebes,7.11693,47.11342
2659601,settlement,valets,6.91143,46.43301
2974661,settlement,ënfans,6.35634,44.35042
2660904,settlement,filgs,10,46.5
2660904,settlement,filgs,10,46.5
3036784,settlement,garchéons,2.78186,50.29301
2660463,settlement,fe,7.08207,46.58338
2978645,settlement,faill,0.65137,48.08975
2659568,settlement,fès,7.36951,47.27818
3028486,settlement,fiu,2.95815,50.49235
