geonames,place_type,mot,longitude,latitude
2790869,settlement,garder,3.95229,50.45413
2991652,settlement,garder,4,47.08333
2980340,settlement,garder,-0.63489,45.74742
2995854,settlement,garder,-1.10514,45.82268
2993209,settlement,garder,0.08063,44.65057
3023919,settlement,garda,0.67195,46.01311
2968866,settlement,garda,0.27923,45.48254
2968866,settlement,garda,0.27923,45.48254
3023919,settlement,garda,0.67195,46.01311
2981816,settlement,garda,3.10788,45.669
2993002,settlement,garda,1.3542,44.01759
3006979,settlement,garda,-0.03857,44.58239
2988670,settlement,garda,1.61079,43.1165
3013767,region,garda,1.22191,43.38724
3018174,settlement,garda,1.60705,42.96535
3041565,region,garda,1.58333,42.55
3028641,settlement,garda,2.34863,43.21649
2997936,settlement,garda,3.31959,43.73178
2973362,region,garda,2.16317,43.7817
2992166,settlement,garda,3.87635,43.61093
3002465,settlement,garda,3.88523,45.04366
3037514,settlement,garda,4.6707,45.23992
2990363,settlement,garda,4.35788,43.83665
6431469,settlement,garda,4.41972,44.0125
2970749,region,garda,6.29145,43.4586
3035681,settlement,garda,4.80892,43.94834
3029603,settlement,garda,5.27187,44.27647
2989819,settlement,garda,5.14052,44.36082
2971053,settlement,garda,4.90956,44.9256
2658864,settlement,garda,7.0032,46.21826
2660646,settlement,garda,6.14569,46.20222
3038224,settlement,garda,4.08082,44.12489
2792413,settlement,wârdé,5.56749,50.63373
2791834,settlement,wardé,6.02794,50.42686
3028486,settlement,wardé,2.95815,50.49235
2790471,settlement,waurdé,4.86746,50.4669
3029030,settlement,warder,3.23472,50.17596
2977845,settlement,Être gardeu,2.26091,50.74834
2989497,settlement,oidaye,5.96915,49.01665
2970530,settlement,voidet,6.05622,48.41692
3016274,settlement,vadget,6.87787,48.07346
3038012,settlement,voigeai,7.23954,47.62417
3015958,settlement,voigea,6.82733,47.74272
2970401,settlement,gaidia,6.09773,47.92159
2969562,settlement,gueidia,6.14251,47.62604
3027082,settlement,gadai,5.51539,47.61525
3033123,settlement,gaidhia,6.01815,47.24878
2968866,settlement,gardisse,0.27923,45.48254
3008042,settlement,gardé,0.06097,44.55834
2990140,settlement,gardais,0.66168,45.52957
2976007,settlement,gorda,1.21656,44.88902
3036016,settlement,gorda,2.43983,44.92539
2983154,settlement,gorda,2.57338,44.35258
3013719,region,gardas,1.21781,45.88341
2976546,settlement,gardas,1.20329,45.5145
3016702,settlement,gardas,6.07868,44.55858
3016194,region,ouyata,0.45422,43.71731
2979657,settlement,guarda,1.14587,42.98491
2984885,region,porquer,2.58889,42.60075
2985290,settlement,sounia,4.59918,44.735
2995469,settlement,gardar,5.38107,43.29695
2974661,settlement,gardar,6.35634,44.35042
2995469,settlement,gardar,5.38107,43.29695
3029256,settlement,gardéssé,5.37339,43.735
3021435,settlement,gordâ,5.37033,44.7536
2660851,settlement,gardâ,6.8465,46.84876
2661017,settlement,voirda,7.11693,47.11342
2659601,settlement,vouerda,6.91143,46.43301
2660904,settlement,parchirar,10,46.5
2660904,settlement,parchüra,10,46.5
2660463,settlement,vuèrdâ,7.08207,46.58338
2978645,settlement,gardaie,0.65137,48.08975
2661513,settlement,voarda,7.24608,47.13713
2661035,settlement,vardé,7.34453,47.36493
2661092,settlement,voirdai,7.07236,47.17822
