geonames,place_type,mot,longitude,latitude
2792413,settlement,grande,5.56749,50.63373
2790471,settlement,grande,4.86746,50.4669
2977845,settlement,grande,2.26091,50.74834
2989497,settlement,grande,5.96915,49.01665
3016274,settlement,grande,6.87787,48.07346
3038012,settlement,grande,7.23954,47.62417
2970401,settlement,grande,6.09773,47.92159
2991652,settlement,grande,4,47.08333
3023919,settlement,grande,0.67195,46.01311
2968866,settlement,grande,0.27923,45.48254
2968866,settlement,grande,0.27923,45.48254
2993209,settlement,grande,0.08063,44.65057
3023919,settlement,grande,0.67195,46.01311
3006979,settlement,grande,-0.03857,44.58239
3002465,settlement,grande,3.88523,45.04366
3035681,settlement,grande,4.80892,43.94834
3016702,settlement,grande,6.07868,44.55858
2974661,settlement,grande,6.35634,44.35042
2660904,settlement,grande,10,46.5
2791834,settlement,foite,6.02794,50.42686
2790869,settlement,terrible,3.95229,50.45413
3029030,settlement,gréende,3.23472,50.17596
3036784,settlement,cruüelle,2.78186,50.29301
3033123,settlement,grand,6.01815,47.24878
2980340,settlement,grand,-0.63489,45.74742
2995854,settlement,grand,-1.10514,45.82268
3008042,settlement,grand,0.06097,44.55834
11071621,region,grand,0.49988,49.19906
3029256,settlement,gran,5.37339,43.735
2969562,settlement,Grand',6.14251,47.62604
3027082,settlement,grante,5.51539,47.61525
2968866,settlement,grando,0.27923,45.48254
2990140,settlement,grando,0.66168,45.52957
2976007,settlement,grando,1.21656,44.88902
3013719,region,grando,1.21781,45.88341
2976546,settlement,grando,1.20329,45.5145
2983154,settlement,grando,2.57338,44.35258
2993002,settlement,grando,1.3542,44.01759
2988670,settlement,grando,1.61079,43.1165
3013767,region,grando,1.22191,43.38724
2973362,region,grando,2.16317,43.7817
2997288,region,grando,3.5,44.5
2990363,settlement,grando,4.35788,43.83665
6431469,settlement,grando,4.41972,44.0125
2995469,settlement,grando,5.38107,43.29695
3029603,settlement,grando,5.27187,44.27647
2989819,settlement,grando,5.14052,44.36082
2971053,settlement,grando,4.90956,44.9256
3038224,settlement,grando,4.08082,44.12489
3028382,settlement,grando,6.51283,43.84707
2995469,settlement,grando,5.38107,43.29695
2981816,settlement,grandô,3.10788,45.669
3036016,settlement,grondo,2.43983,44.92539
3021435,settlement,grondo,5.37033,44.7536
3016194,region,gran’,0.45422,43.71731
2979657,settlement,forto,1.14587,42.98491
3018174,settlement,granda,1.60705,42.96535
3041565,region,granda,1.58333,42.55
2992166,settlement,granda,3.87635,43.61093
3037514,settlement,granda,4.6707,45.23992
2984885,region,forte,2.58889,42.60075
2997936,settlement,Granda,3.31959,43.73178
2970749,region,grosso,6.29145,43.4586
2658864,settlement,granta,7.0032,46.21826
2660851,settlement,granta,6.8465,46.84876
2659601,settlement,granta,6.91143,46.43301
2661017,settlement,grosse,7.11693,47.11342
2661513,settlement,grosse,7.24608,47.13713
2661035,settlement,grosse,7.34453,47.36493
2661092,settlement,grosse,7.07236,47.17822
2659568,settlement,grosse,7.36951,47.27818
2660646,settlement,grossa,6.14569,46.20222
2660904,settlement,gronda,10,46.5
2660463,settlement,puschinta,7.08207,46.58338
