geonames,place_type,mot,longitude,latitude
2661017,settlement,habitants,7.11693,47.11342
2661513,settlement,habitants,7.24608,47.13713
2661092,settlement,habitants,7.07236,47.17822
2791834,settlement,manans,6.02794,50.42686
2790471,settlement,homme,4.86746,50.4669
3036784,settlement,homme,2.78186,50.29301
3028486,settlement,homme,2.95815,50.49235
3037514,settlement,homme,4.6707,45.23992
2790869,settlement,manant,3.95229,50.45413
3029030,settlement,mon,3.23472,50.17596
2977845,settlement,bourgeouois,2.26091,50.74834
3029256,settlement,bourgeouois,5.37339,43.735
2989497,settlement,habitans,5.96915,49.01665
3015958,settlement,habitans,6.82733,47.74272
2968866,settlement,habitans,0.27923,45.48254
2979657,settlement,habitans,1.14587,42.98491
3013767,region,habitans,1.22191,43.38724
6431469,settlement,habitans,4.41972,44.0125
2970749,region,habitans,6.29145,43.4586
3029603,settlement,habitans,5.27187,44.27647
3016702,settlement,habitans,6.07868,44.55858
2974661,settlement,habitans,6.35634,44.35042
2995469,settlement,habitans,5.38107,43.29695
2970530,settlement,ja,6.05622,48.41692
3016274,settlement,abitan,6.87787,48.07346
3038012,settlement,aibitins,7.23954,47.62417
2970401,settlement,monsieur,6.09773,47.92159
2969562,settlement,gent,6.14251,47.62604
3027082,settlement,hébitant,5.51539,47.61525
3033123,settlement,haibitants,6.01815,47.24878
3023919,settlement,monsieu,0.67195,46.01311
2968866,settlement,habiten,0.27923,45.48254
2659601,settlement,habiten,6.91143,46.43301
2980340,settlement,houme,-0.63489,45.74742
2968866,settlement,habitant,0.27923,45.48254
3018174,settlement,habitant,1.60705,42.96535
3041565,region,habitant,1.58333,42.55
2973362,region,habitant,2.16317,43.7817
2995854,settlement,habitan,-1.10514,45.82268
2993209,settlement,habitan,0.08063,44.65057
2992166,settlement,habitan,3.87635,43.61093
2990363,settlement,habitan,4.35788,43.83665
3035681,settlement,habitan,4.80892,43.94834
3008042,settlement,home,0.06097,44.55834
2981816,settlement,home,3.10788,45.669
3006979,settlement,home,-0.03857,44.58239
3016194,region,home,0.45422,43.71731
2990140,settlement,homé,0.66168,45.52957
2976007,settlement,hobitans,1.21656,44.88902
3023919,settlement,bourgeâis,0.67195,46.01311
3013719,region,citoyen,1.21781,45.88341
2976546,settlement,abitans,1.20329,45.5145
2997288,region,abitans,3.5,44.5
3038224,settlement,abitans,4.08082,44.12489
3036016,settlement,bourgis,2.43983,44.92539
2983154,settlement,ouome,2.57338,44.35258
2993002,settlement,bourges,1.3542,44.01759
2988670,settlement,cilouyen,1.61079,43.1165
2984885,region,ciudadano,2.58889,42.60075
3028641,settlement,proupriétari,2.34863,43.21649
2997936,settlement,bourgés,3.31959,43.73178
3002465,settlement,bourdgeouas,3.88523,45.04366
2985290,settlement,chebencié,4.59918,44.735
2995469,settlement,habilans,5.38107,43.29695
2989819,settlement,habitandé,5.14052,44.36082
2971053,settlement,hommet,4.90956,44.9256
3021435,settlement,hobitou,5.37033,44.7536
2658864,settlement,n’abitan,7.0032,46.21826
2660851,settlement,retzâ,6.8465,46.84876
2660646,settlement,ôme,6.14569,46.20222
2660904,settlement,contadin,10,46.5
2660904,settlement,vaschin,10,46.5
2660463,settlement,routzèrî,7.08207,46.58338
2978645,settlement,mocieu,0.65137,48.08975
2661035,settlement,habitaints,7.34453,47.36493
