geonames,place_type,mot,longitude,latitude
2970401,settlement,homme,6.09773,47.92159
3027082,settlement,homme,5.51539,47.61525
2968866,settlement,homme,0.27923,45.48254
2792413,settlement,homme,5.56749,50.63373
2993209,settlement,homme,0.08063,44.65057
3036016,settlement,homme,2.43983,44.92539
2791834,settlement,homme,6.02794,50.42686
3006979,settlement,homme,-0.03857,44.58239
2790471,settlement,homme,4.86746,50.4669
3002465,settlement,homme,3.88523,45.04366
3021435,settlement,homme,5.37033,44.7536
3016702,settlement,homme,6.07868,44.55858
3036784,settlement,homme,2.78186,50.29301
11071621,region,homme,0.49988,49.19906
2977845,settlement,home,2.26091,50.74834
2969562,settlement,home,6.14251,47.62604
3008042,settlement,home,0.06097,44.55834
2990140,settlement,home,0.66168,45.52957
2981816,settlement,home,3.10788,45.669
3016194,region,home,0.45422,43.71731
2979657,settlement,home,1.14587,42.98491
3018174,settlement,home,1.60705,42.96535
3041565,region,home,1.58333,42.55
2984885,region,home,2.58889,42.60075
2997936,settlement,home,3.31959,43.73178
2985290,settlement,home,4.59918,44.735
3035681,settlement,home,4.80892,43.94834
3029256,settlement,home,5.37339,43.735
2661017,settlement,home,7.11693,47.11342
2661513,settlement,home,7.24608,47.13713
2661092,settlement,home,7.07236,47.17822
2659568,settlement,home,7.36951,47.27818
2989497,settlement,oumme,5.96915,49.01665
2970530,settlement,hame,6.05622,48.41692
3016274,settlement,am,6.87787,48.07346
3038012,settlement,hanne,7.23954,47.62417
3015958,settlement,houme,6.82733,47.74272
3033123,settlement,houme,6.01815,47.24878
2991652,settlement,houme,4,47.08333
2980340,settlement,houme,-0.63489,45.74742
3006787,settlement,houme,-1.15222,46.16308
2995854,settlement,houme,-1.10514,45.82268
2978645,settlement,houme,0.65137,48.08975
3023919,settlement,hom,0.67195,46.01311
3029030,settlement,hom,3.23472,50.17596
2660904,settlement,hom,10,46.5
2968866,settlement,houmé,0.27923,45.48254
3029603,settlement,houmé,5.27187,44.27647
2968866,settlement,omé,0.27923,45.48254
2976546,settlement,omé,1.20329,45.5145
2976007,settlement,homé,1.21656,44.88902
2973362,region,homé,2.16317,43.7817
2970749,region,homé,6.29145,43.4586
2989819,settlement,homé,5.14052,44.36082
3023919,settlement,haumé,0.67195,46.01311
3013719,region,haumé,1.21781,45.88341
2983154,settlement,ouome,2.57338,44.35258
2993002,settlement,ôme,1.3542,44.01759
2988670,settlement,ome,1.61079,43.1165
3013767,region,homè,1.22191,43.38724
3028641,settlement,hommé,2.34863,43.21649
2992166,settlement,hommé,3.87635,43.61093
2997288,region,omè,3.5,44.5
2790869,settlement,saqui,3.95229,50.45413
2990363,settlement,homë,4.35788,43.83665
6431469,settlement,ômé,4.41972,44.0125
2995469,settlement,hôme,5.38107,43.29695
2971053,settlement,hommet,4.90956,44.9256
2658864,settlement,omo,7.0032,46.21826
2660646,settlement,omo,6.14569,46.20222
2660851,settlement,omou,6.8465,46.84876
2659601,settlement,ommo,6.91143,46.43301
2660463,settlement,ommo,7.08207,46.58338
2974661,settlement,hommë,6.35634,44.35042
2660904,settlement,ômm,10,46.5
3038224,settlement,omë,4.08082,44.12489
3028382,settlement,hom’,6.51283,43.84707
2995469,settlement,homo,5.38107,43.29695
2661035,settlement,baume,7.34453,47.36493
3028486,settlement,Homme,2.95815,50.49235
