id,mot,latitude,longitude
PerigueuxChancelade,omè,45.204633651169,0.666123365941642
SavignaclesÉglisesSavignaclesÉglises,omè,45.2740403,0.9147818
SavignaclesÉglisesCubjac,omè,45.2226162,0.9402413
SaintPierredeChignacLaDouze,omè,45.0614511,0.8629891
ThenonBrouchaud,omè,45.2058999,0.9985981
TerrassonLavilledieuLaBachellerieLaularie,omè,45.1318038072179,1.18561880666736
MonpazierBiron,omè,44.6312198,0.8725428
VillamblardBeauregard,omè,44.9941775342369,0.644001818219512
SainteAlvereTremolat,omè,44.8767438765089,0.83215410527053
VerteillacChampagneetFontaine,omè,45.4225,0.3180556
RiberacVilletoureix,omè,45.2635099,0.3640631
MussidanSourzac,omè,45.0486931,0.3953505
NeuvicVallereuil,omè,45.0717467,0.5014427
NeuvicSaintVincentdeConnezac,omè,45.16306,0.39675
ChampagnacdeBelairChampagnacdeBelair,omè,45.3941667,0.7005556
LanouailleSaintSulpicedExcideuil,omè,,
PerigueuxChâteaulÉvêque,homé,45.2452966,0.6861762
SavignaclesÉglisesLeParnetbis,homé,45.2629436591999,0.82481226793417
SavignaclesÉglisesLeParnet,homé,45.2609634342942,0.831286638859921
SavignaclesÉglisesAntonneetTrigonant,homé,45.2131143589075,0.83096799848027
SavignaclesÉglisesSarliacsurlIsle,homé,,
ExcideuilSaintMartialdAlbarede,homé,,
ExcideuilSaintGermaindesPres,homé,45.3419501,0.9912891
ExcideuilSaintMesmin,homé,45.352683,1.2052684
ExcideuilSaintPantalydExcideuil,homé,,
ExcideuilExcideuil,homé,45.337548197067,1.0486302572322
SaintPierredeChignacSaintPierredeChignac,homé,45.1242,0.85664
SaintPierredeChignacSainteMariedeChignac,homé,45.13086,0.82839
SaintPierredeChignacSaintLaurentsurManoire,homé,45.1474041,0.7947935
SaintPierredeChignacBoulazac,homé,45.1801801,0.7691334
VergtLacropte,homé,45.03633,0.83079
VergtVeyrinesdeVergt,homé,45.0032801,0.7711022
SaintAstierManzacsurVern,homé,45.0852972,0.5871083
SaintAstierMontanceix,homé,45.150118,0.5744989
SaintAstierAnnesseetBeaulieu,homé,45.175,0.5919444
HautefortHautefort,homé,45.2594367,1.146062
HautefortGrangesdAns,homé,,
SalignacEyviguesPaulin,homé,45.002690965089,1.34631999362469
SalignacEyviguesSalignac,homé,45.0100284,0.5084703
SalignacEyviguesArchignacbis,homé,45.0182282049233,1.31663333447699
SalignacEyviguesSaintGenies,homé,44.9942738360716,1.24841230725656
SalignacEyviguesSaintCrepinetCarlucet,homé,44.9605184,1.2731243
VillefrancheduPerigordLoubejac,homé,44.5934155,1.087872
VillefrancheduPerigordVillefrancheduPerigordbis,homé,44.6384687999367,1.08745373690194
VillefrancheduPerigordLavaur,homé,44.6129697,1.0230515
VillefrancheduPerigordCampagnaclesQuercy,homé,44.6944254,1.1739057
VillefrancheduPerigordSaintCernindelHerm,homé,44.64023,1.03398
SaintCyprienMouzens,homé,44.8460613,1.012664
SaintCyprienAllaslesMines,homé,44.8339933,1.0729999
SaintCyprienBezenac,homé,44.84294,1.09018
SaintCyprienBerbiguieres,homé,44.834,1.04239
BugueManaurie,homé,,
TerrassonLavilledieuPazayac,homé,45.1214406,1.3788083
TerrassonLavilledieuPeyrignac,homé,45.1574825630669,1.19206539417888
TerrassonLavilledieuColy,homé,45.0845747452129,1.26716669362842
TerrassonLavilledieuBeauregarddeTerrassonLardin,homé,45.1441705317784,1.21915805612948
BelvesSaintGermaindeBelves,homé,44.8046359,1.0484739
BelvesLoubejac,homé,44.5934155,1.087871
BelvesMonplaisant,homé,44.7894342,0.9968386
BelvesSaintAmanddeBelves,homé,44.76097,1.03734
BelvesBelvester,homé,44.7777779650012,1.01112667735268
DommeDomme,homé,44.8022673,1.2140018
