geonames,place_type,mot,longitude,latitude
2977845,settlement,jeune,2.26091,50.74834
3016274,settlement,jeune,6.87787,48.07346
2970401,settlement,jeune,6.09773,47.92159
2969562,settlement,jeune,6.14251,47.62604
3027082,settlement,jeune,5.51539,47.61525
2968866,settlement,jeune,0.27923,45.48254
2993209,settlement,jeune,0.08063,44.65057
3008042,settlement,jeune,0.06097,44.55834
3006979,settlement,jeune,-0.03857,44.58239
2989497,settlement,jonne,5.96915,49.01665
3028486,settlement,jonne,2.95815,50.49235
2970530,settlement,jane,6.05622,48.41692
3038012,settlement,juene,7.23954,47.62417
3015958,settlement,june,6.82733,47.74272
3033123,settlement,juêne,6.01815,47.24878
2991652,settlement,zeune,4,47.08333
3023919,settlement,jaûne,0.67195,46.01311
2968866,settlement,jaûnè,0.27923,45.48254
2980340,settlement,jéne,-0.63489,45.74742
3006787,settlement,deré,-1.15222,46.16308
2995854,settlement,jenne,-1.10514,45.82268
2792413,settlement,jône,5.56749,50.63373
2791834,settlement,jône,6.02794,50.42686
2968866,settlement,jauoné,0.27923,45.48254
2990140,settlement,djouné,0.66168,45.52957
2976007,settlement,tzoïné,1.21656,44.88902
3023919,settlement,jouné,0.67195,46.01311
3013719,region,jauné,1.21781,45.88341
2976546,settlement,jauné,1.20329,45.5145
2981816,settlement,dzone,3.10788,45.669
3036016,settlement,ziouve,2.43983,44.92539
2983154,settlement,choube,2.57338,44.35258
2993002,settlement,joube,1.3542,44.01759
3018174,settlement,joube,1.60705,42.96535
3041565,region,joube,1.58333,42.55
3016194,region,caddet,0.45422,43.71731
2988670,settlement,jouen,1.61079,43.1165
2979657,settlement,joués,1.14587,42.98491
3013767,region,jouèné,1.22191,43.38724
2984885,region,jove,2.58889,42.60075
2790471,settlement,djoonne,4.86746,50.4669
3028641,settlement,joubé,2.34863,43.21649
2973362,region,joubé,2.16317,43.7817
2992166,settlement,jouiné,3.87635,43.61093
3029603,settlement,jouiné,5.27187,44.27647
3029256,settlement,jouiné,5.37339,43.735
3028382,settlement,jouiné,6.51283,43.84707
2995469,settlement,jouiné,5.38107,43.29695
2997936,settlement,jouine,3.31959,43.73178
2997288,region,geouve,3.5,44.5
3002465,settlement,djoueine,3.88523,45.04366
2985290,settlement,gieuiné,4.59918,44.735
3037514,settlement,jieune,4.6707,45.23992
2790869,settlement,r'culot,3.95229,50.45413
2990363,settlement,cadé,4.35788,43.83665
6431469,settlement,jhouiné,4.41972,44.0125
3038224,settlement,jhouiné,4.08082,44.12489
2995469,settlement,jouven,5.38107,43.29695
2970749,region,pichoun,6.29145,43.4586
3035681,settlement,dzoüiné,4.80892,43.94834
2989819,settlement,jiouné,5.14052,44.36082
2971053,settlement,jeunet,4.90956,44.9256
3021435,settlement,dzuèné,5.37033,44.7536
3029030,settlement,josne,3.23472,50.17596
3016702,settlement,jouvé,6.07868,44.55858
2658864,settlement,dzouveno,7.0032,46.21826
2660851,settlement,dzouvenou,6.8465,46.84876
2661017,settlement,tsgeuvène,7.11693,47.11342
2659601,settlement,derrai,6.91143,46.43301
2660646,settlement,djouânne,6.14569,46.20222
2974661,settlement,jouvë,6.35634,44.35042
2660904,settlement,juven,10,46.5
2660904,settlement,juven,10,46.5
3036784,settlement,jone,2.78186,50.29301
2660463,settlement,dzôueno,7.08207,46.58338
2978645,settlement,jène,0.65137,48.08975
2661513,settlement,geouvenne,7.24608,47.13713
2661035,settlement,djeuene,7.34453,47.36493
2661092,settlement,geovenne,7.07236,47.17822
2659568,settlement,geüne,7.36951,47.27818
