id,mot,latitude,longitude
PerigueuxChancelade,zoonè,45.204633651169,0.666123365941642
PerigueuxChâteaulÉvêque,joonè,45.2452966,0.6861762
SaintPierredeChignacEyliac,joonè,45.16108,0.85396
PerigueuxPerigueux,zoo͞unè,45.1909365,0.7184407
PerigueuxCoulounieixChamiers,zoouné,45.1566728181789,0.689551659194694
PerigueuxTrelissac,zoouné,45.1970172,0.7835042
SavignaclesÉglisesSavignaclesÉglises,zoouné,45.2740403,0.9147818
SavignaclesÉglisesSavignaclesÉglisesbis,zoouné,45.2823131778501,0.924533033858988
SaintPierredeChignacSainteMariedeChignac,zoouné,45.13086,0.82839
SaintPierredeChignacSaintLaurentsurManoire,zoouné,45.1474041,0.7947935
SaintAstierManzacsurVern,zoouné,45.0852972,0.5871083
SaintAstierLeguillacdelAuche,zoouné,45.184683,0.556257
SaintAstierAnnesseetBeaulieu,zoouné,45.175,0.5919444
BrantômeSaintFrontdAlemps,zoouné,,
VerteillacCerclesLaMarteille,zoouné,45.3601881084174,0.487740879067302
VerteillacLaTourBlanche,zoouné,45.364730774105,0.447120863638653
VerteillacBertric,zoouné,45.3030964607423,0.358763608353421
MussidanSaintMedarddeMussidan,zoouné,45.0447827,0.3449927
MussidanSaintFrontdePradoux,zoouné,45.05507,0.36365
NeuvicSaintAquilin,zoouné,45.1860003,0.4937783
SaintAulayeFestalemps,zoouné,45.2264504,0.2409257
MontponEygurandeetGardedeuilPalem,zoouné,45.0964249212683,0.152477565292606
ThiviersNantheuil,zoouné,45.4134464,0.9449856
SaintPardouxlaRiviereChampsRomain,zoouné,45.5319444,0.7761111
NontronLeBourdeix,zoouné,45.5892772285081,0.633498972646062
ChampagnacdeBelairLaChapelleFaucher,zoouné,45.37167,0.75278
JumilhacleGrandSaintJorydeChalais,zoouné,45.4989797,0.8997848
LanouailleSarlande,zoouné,45.4517238620073,1.11419510834687
PerigueuxChampcevinel,djôné,45.2155556,0.7272222
PerigueuxMarsacsurlIsle,joôné,45.1858333,0.6619444
SavignaclesÉglisesCornille,jaoune,45.2509931,0.7843361
SavignaclesÉglisesSorges,zoounè,45.3080310719242,0.872619960923924
SavignaclesÉglisesCoulaures,zoounè,45.3065736,0.9822283
SavignaclesÉglisesCubjac,zoounè,45.2226162,0.9402413
SavignaclesÉglisesMayac,zoounè,45.2808165707927,0.943949733987045
ExcideuilPreyssacdExcideuil,zoounè,,
SaintPierredeChignacBassillac,zoounè,45.1913737,0.81311
SaintAstierMensignac,zoounè,45.2282951355517,0.561493527145112
HautefortChourgnac,zoounè,45.2367071,1.0598278
HautefortCherveixCubas,zoounè,45.2902646,1.1154522
HautefortHautefortter,zoounè,45.2641429284034,1.14620263937124
BrantômeBourdeilles,zoounè,45.3217639,0.5871282
BrantômeEyvirat,zoounè,45.3233756396582,0.753162968745019
ThenonLaBoissieredAns,zoounè,,
VerteillacVerteillac,zoounè,45.3473878,0.3662938
VerteillacLusignac,zoounè,45.3280556,0.3123791
RiberacVanxains,zoounè,45.2160308,0.2856664
MussidanSaintMicheldeDouble,zoounè,45.0791792,0.288958
MussidanBeaupouyet,zoounè,44.9973742,0.2736296
MontponMontpon,zoounè,45.0086062531858,0.159560307670862
MontponMenesterol,zoounè,45.0183714212748,0.15330290422927
ThiviersSaintMartindeFressengeas,zoounè,45.4425829,0.8448102
ChampagnacdeBelairChampagnacdeBelair,zoounè,45.3941667,0.7005556
LanouailleLanouaille,zoounè,45.392287,1.1383271
SavignaclesÉglisesLeParnetbis,zaunné,45.2629436591999,0.82481226793417
SavignaclesÉglisesLeParnet,jauné,45.2609634342942,0.831286638859921
ExcideuilSaintPantalydExcideuil,jauné,,
HautefortHautefortbis,jauné,45.2672124818368,1.14692067737886
VerteillacAuriacdeBourzac,jauné,45.3731207,0.2601651
MontponSaintBarthelemydeBellegarde,jauné,45.0768414,0.2097629
ThiviersLempzours,jauné,45.36126,0.81813
SavignaclesÉglisesSaintPantalydAns,zonei,,
SavignaclesÉglisesSaintVincentsurlIsle,jaüné,,
HautefortCoubjours,jaüné,45.2474468,1.2563294
NontronConnezac,jaüné,45.51201,0.52903
SavignaclesÉglisesLigueux,zoounet,45.30813,0.81893
ThenonBrouchaud,zoounet,45.2058999,0.9985981
SavignaclesÉglisesAntonneetTrigonant,dzoouné,45.2131143589075,0.83096799848027
SaintPierredeChignacSaintPierredeChignac,dzoouné,45.1242,0.85664
MontponÉchourgnac,dzoouné,45.1256528,0.229781
MareuilBeaussac,dzoouné,45.4937898,0.4978568
BussiereBadilÉtouars,dzoouné,45.60152,0.62771
JumilhacleGrandChalais,dzoouné,45.5074252,0.926825
SavignaclesÉglisesNegrondes,zöouné,45.3452711,0.8646705
