geonames,place_type,mot,longitude,latitude
2791834,settlement,là,6.02794,50.42686
2790471,settlement,là,4.86746,50.4669
2790869,settlement,là,3.95229,50.45413
3028486,settlement,là,2.95815,50.49235
2977845,settlement,là,2.26091,50.74834
3027082,settlement,là,5.51539,47.61525
2995854,settlement,là,-1.10514,45.82268
2792413,settlement,ousse qu’il esteu,5.56749,50.63373
3029030,settlement,la,3.23472,50.17596
3016274,settlement,la,6.87787,48.07346
3015958,settlement,la,6.82733,47.74272
3036784,settlement,lo,2.78186,50.29301
2989497,settlement,let,5.96915,49.01665
2970530,settlement,let,6.05622,48.41692
3038012,settlement,li,7.23954,47.62417
2969562,settlement,lei,6.14251,47.62604
2991652,settlement,lel,4,47.08333
3023919,settlement,antveirre oû y aguét,0.67195,46.01311
2990140,settlement,laï,0.66168,45.52957
3023919,settlement,ainté v’airo,0.67195,46.01311
2981816,settlement,unô,3.10788,45.669
3006979,settlement,é,-0.03857,44.58239
2984885,region,part de,2.58889,42.60075
3028641,settlement,ount éro,2.34863,43.21649
2970749,region,"Et leou, leou",6.29145,43.4586
3035681,settlement,d'aqui,4.80892,43.94834
3029603,settlement,vount'éro,5.27187,44.27647
2989819,settlement,D’aqui é fugué,5.14052,44.36082
2658864,settlement,lé,7.0032,46.21826
2659601,settlement,inque,6.91143,46.43301
2974661,settlement,d’aqui,6.35634,44.35042
