geonames,place_type,mot,longitude,latitude
2790471,settlement,mougnainnes,4.86746,50.4669
2790869,settlement,megneun’te,3.95229,50.45413
3029030,settlement,miottent,3.23472,50.17596
3028486,settlement,emmioittent,2.95815,50.49235
2977845,settlement,m’ingeoitent,2.26091,50.74834
2989497,settlement,maingaint,5.96915,49.01665
2970530,settlement,mengin,6.05622,48.41692
2969562,settlement,mingin,6.14251,47.62604
3027082,settlement,deignieus,5.51539,47.61525
3033123,settlement,maingint,6.01815,47.24878
2968866,settlement,mingeovent,0.27923,45.48254
2980340,settlement,mangiant,-0.63489,45.74742
2968866,settlement,mangiant,0.27923,45.48254
2995854,settlement,mangiant,-1.10514,45.82268
2993209,settlement,mangian,0.08063,44.65057
3008042,settlement,mangian,0.06097,44.55834
2968866,settlement,muishaven,0.27923,45.48254
2976007,settlement,mintzavoun,1.21656,44.88902
3023919,settlement,meingeavan,0.67195,46.01311
3013719,region,minjovant,1.21781,45.88341
2976546,settlement,mingeavent,1.20329,45.5145
2981816,settlement,mandzavon,3.10788,45.669
2983154,settlement,monchabou,2.57338,44.35258
2993002,settlement,mautjeaboun,1.3542,44.01759
3006979,settlement,minghéoun,-0.03857,44.58239
3016194,region,minjaoüon,0.45422,43.71731
2988670,settlement,manjabon,1.61079,43.1165
2979657,settlement,mingeaüon,1.14587,42.98491
3013767,region,manjaboun,1.22191,43.38724
3018174,settlement,mangeaben,1.60705,42.96535
3041565,region,mengeaben,1.58333,42.55
2984885,region,menjavan,2.58889,42.60075
2661017,settlement,menjavan,7.11693,47.11342
2992166,settlement,mangeavou,3.87635,43.61093
2970749,region,mangeavou,6.29145,43.4586
2997936,settlement,mangeabon,3.31959,43.73178
2973362,region,se nourrissau,2.16317,43.7817
2997288,region,mangeabou,3.5,44.5
3002465,settlement,mandjavon,3.88523,45.04366
3037514,settlement,mengeaventz,4.6707,45.23992
2990363,settlement,mangeavoun,4.35788,43.83665
3029256,settlement,mangeavoun,5.37339,43.735
3016702,settlement,mangeavoun,6.07868,44.55858
2660646,settlement,mangeavoun,6.14569,46.20222
6431469,settlement,manjhavoun,4.41972,44.0125
3035681,settlement,mandzavoun,4.80892,43.94834
2989819,settlement,mangiavoun,5.14052,44.36082
2660851,settlement,medzîvon,6.8465,46.84876
2660904,settlement,magliévan,10,46.5
3028382,settlement,manjavan,6.51283,43.84707
