geonames,place_type,mot,longitude,latitude
3028486,settlement,meurs,2.95815,50.49235
3036016,settlement,more,2.43983,44.92539
2990363,settlement,more,4.35788,43.83665
2792413,settlement,cryve,5.56749,50.63373
2791834,settlement,moure,6.02794,50.42686
2993209,settlement,moure,0.08063,44.65057
3008042,settlement,moure,0.06097,44.55834
6431469,settlement,moure,4.41972,44.0125
2790471,settlement,crevo,4.86746,50.4669
2790869,settlement,muere,3.95229,50.45413
3036784,settlement,mourir,2.78186,50.29301
2977845,settlement,mourir,2.26091,50.74834
2989497,settlement,meurri,5.96915,49.01665
2970530,settlement,mue,6.05622,48.41692
3038012,settlement,mue,7.23954,47.62417
3016274,settlement,moire,6.87787,48.07346
3015958,settlement,meu,6.82733,47.74272
2970401,settlement,crève,6.09773,47.92159
2969562,settlement,meue,6.14251,47.62604
3027082,settlement,meuri,5.51539,47.61525
3033123,settlement,meri,6.01815,47.24878
2991652,settlement,creuve,4,47.08333
3023919,settlement,anrajant,0.67195,46.01311
2968866,settlement,mouri,0.27923,45.48254
2968866,settlement,mouri,0.27923,45.48254
3013767,region,mouri,1.22191,43.38724
2980340,settlement,crever,-0.63489,45.74742
2995854,settlement,mourre,-1.10514,45.82268
2968866,settlement,meuré,0.27923,45.48254
2990140,settlement,meuré,0.66168,45.52957
2976007,settlement,mori,1.21656,44.88902
2993002,settlement,mori,1.3542,44.01759
2988670,settlement,mori,1.61079,43.1165
2979657,settlement,mori,1.14587,42.98491
3018174,settlement,mori,1.60705,42.96535
2984885,region,mori,2.58889,42.60075
2973362,region,mori,2.16317,43.7817
3023919,settlement,einragé,0.67195,46.01311
3013719,region,méré,1.21781,45.88341
2976546,settlement,moré,1.20329,45.5145
3035681,settlement,moré,4.80892,43.94834
2981816,settlement,maure,3.10788,45.669
2983154,settlement,ogonisse,2.57338,44.35258
3006979,settlement,môri,-0.03857,44.58239
3016194,region,mourichi,0.45422,43.71731
3041565,region,mory,1.58333,42.55
3028641,settlement,mourissé,2.34863,43.21649
2992166,settlement,mourissé,3.87635,43.61093
2997936,settlement,crebe,3.31959,43.73178
3002465,settlement,crebe,3.88523,45.04366
2997288,region,mourissè,3.5,44.5
2985290,settlement,mouoré,4.59918,44.735
3037514,settlement,meirou,4.6707,45.23992
2995469,settlement,moueri,5.38107,43.29695
2970749,region,moueri,6.29145,43.4586
3029256,settlement,moueri,5.37339,43.735
3029603,settlement,nouarrê,5.27187,44.27647
2989819,settlement,mouré,5.14052,44.36082
2971053,settlement,murou,4.90956,44.9256
3021435,settlement,muérou,5.37033,44.7536
3016702,settlement,murir,6.07868,44.55858
2658864,settlement,moeyro,7.0032,46.21826
2661017,settlement,morint,7.11693,47.11342
2660646,settlement,mouerou,6.14569,46.20222
2660904,settlement,périr,10,46.5
3028382,settlement,crébendou,6.51283,43.84707
