geonames,place_type,mot,longitude,latitude
2790869,settlement,pain,3.95229,50.45413
2970530,settlement,pain,6.05622,48.41692
3016274,settlement,pain,6.87787,48.07346
3038012,settlement,pain,7.23954,47.62417
3015958,settlement,pain,6.82733,47.74272
2969562,settlement,pain,6.14251,47.62604
3027082,settlement,pain,5.51539,47.61525
3033123,settlement,pain,6.01815,47.24878
2991652,settlement,pain,4,47.08333
2968866,settlement,pain,0.27923,45.48254
2980340,settlement,pain,-0.63489,45.74742
2968866,settlement,pain,0.27923,45.48254
2995854,settlement,pain,-1.10514,45.82268
2968866,settlement,po,0.27923,45.48254
2990140,settlement,po,0.66168,45.52957
2976007,settlement,po,1.21656,44.88902
3013719,region,po,1.21781,45.88341
3036016,settlement,po,2.43983,44.92539
3002465,settlement,po,3.88523,45.04366
2791834,settlement,pan,6.02794,50.42686
3023919,settlement,pan,0.67195,46.01311
3006979,settlement,pan,-0.03857,44.58239
2997936,settlement,pan,3.31959,43.73178
2997288,region,pan,3.5,44.5
2992166,settlement,pan,3.87635,43.61093
3037514,settlement,pan,4.6707,45.23992
2990363,settlement,pan,4.35788,43.83665
6431469,settlement,pan,4.41972,44.0125
2995469,settlement,pan,5.38107,43.29695
2970749,region,pan,6.29145,43.4586
3029603,settlement,pan,5.27187,44.27647
2989819,settlement,pan,5.14052,44.36082
3029256,settlement,pan,5.37339,43.735
2971053,settlement,pan,4.90956,44.9256
2658864,settlement,pan,7.0032,46.21826
2660646,settlement,pan,6.14569,46.20222
3028382,settlement,pan,6.51283,43.84707
2790471,settlement,pouain,4.86746,50.4669
3029030,settlement,poin,3.23472,50.17596
3028486,settlement,poin,2.95815,50.49235
3036784,settlement,Pon-ye,2.78186,50.29301
2977845,settlement,paayn,2.26091,50.74834
2989497,settlement,pé,5.96915,49.01665
2993209,settlement,peu,0.08063,44.65057
3035681,settlement,peu,4.80892,43.94834
3008042,settlement,pagn,0.06097,44.55834
3023919,settlement,pô,0.67195,46.01311
2976546,settlement,pô,1.20329,45.5145
2981816,settlement,ce,3.10788,45.669
2983154,settlement,pa,2.57338,44.35258
2993002,settlement,pa,1.3542,44.01759
2988670,settlement,pa,1.61079,43.1165
2979657,settlement,pa,1.14587,42.98491
3013767,region,pa,1.22191,43.38724
3018174,settlement,pa,1.60705,42.96535
3041565,region,pa,1.58333,42.55
2984885,region,pa,2.58889,42.60075
3028641,settlement,pa,2.34863,43.21649
2973362,region,pa,2.16317,43.7817
3016702,settlement,pa,6.07868,44.55858
2661017,settlement,pa,7.11693,47.11342
2985290,settlement,pon,4.59918,44.735
3021435,settlement,pon,5.37033,44.7536
2660904,settlement,pang,10,46.5
