geonames,place_type,mot,longitude,latitude
3029030,settlement,personne,3.23472,50.17596
3028486,settlement,personne,2.95815,50.49235
2977845,settlement,personne,2.26091,50.74834
2980340,settlement,personne,-0.63489,45.74742
2792413,settlement,on,5.56749,50.63373
2790869,settlement,on,3.95229,50.45413
2791834,settlement,noulu,6.02794,50.42686
2790471,settlement,persoonne,4.86746,50.4669
3036784,settlement,ain,2.78186,50.29301
2989497,settlement,péhounne,5.96915,49.01665
2970530,settlement,pachane,6.05622,48.41692
3016274,settlement,pahene,6.87787,48.07346
3038012,settlement,niun,7.23954,47.62417
3015958,settlement,n’uin,6.82733,47.74272
2970401,settlement,nun,6.09773,47.92159
3027082,settlement,nun,5.51539,47.61525
3033123,settlement,nun,6.01815,47.24878
2969562,settlement,nûn,6.14251,47.62604
2991652,settlement,parsoune,4,47.08333
3023919,settlement,presoune,0.67195,46.01311
2995854,settlement,presoune,-1.10514,45.82268
2968866,settlement,presonne,0.27923,45.48254
2968866,settlement,présonne,0.27923,45.48254
2993209,settlement,digun,0.08063,44.65057
3036016,settlement,digun,2.43983,44.92539
3006979,settlement,digun,-0.03857,44.58239
3008042,settlement,digugn,0.06097,44.55834
2968866,settlement,dégu,0.27923,45.48254
3013719,region,dégu,1.21781,45.88341
2988670,settlement,dégu,1.61079,43.1165
2990140,settlement,degu,0.66168,45.52957
2976007,settlement,dégun,1.21656,44.88902
6431469,settlement,dégun,4.41972,44.0125
2995469,settlement,dégun,5.38107,43.29695
3029256,settlement,dégun,5.37339,43.735
3023919,settlement,nermo,0.67195,46.01311
2976546,settlement,persounô,1.20329,45.5145
2981816,settlement,narmo,3.10788,45.669
2983154,settlement,dégus,2.57338,44.35258
2992166,settlement,dégus,3.87635,43.61093
2993002,settlement,digus,1.3542,44.01759
3013767,region,digus,1.22191,43.38724
3018174,settlement,digus,1.60705,42.96535
3041565,region,digus,1.58333,42.55
3028641,settlement,digus,2.34863,43.21649
2973362,region,digus,2.16317,43.7817
3016194,region,degun,0.45422,43.71731
2970749,region,degun,6.29145,43.4586
2660646,settlement,degun,6.14569,46.20222
2979657,settlement,digue,1.14587,42.98491
2984885,region,n’ingu,2.58889,42.60075
2997936,settlement,pressoune,3.31959,43.73178
2997288,region,persouno,3.5,44.5
3002465,settlement,dengus,3.88523,45.04366
2985290,settlement,dengu,4.59918,44.735
2990363,settlement,rés,4.35788,43.83665
3029603,settlement,rés,5.27187,44.27647
3035681,settlement,rès,4.80892,43.94834
2989819,settlement,dingu,5.14052,44.36082
2971053,settlement,dingu,4.90956,44.9256
3016702,settlement,dingu,6.07868,44.55858
3021435,settlement,déngu,5.37033,44.7536
2660851,settlement,nion,6.8465,46.84876
2661017,settlement,ningù,7.11693,47.11342
2660904,settlement,ingün,10,46.5
3028382,settlement,nechun,6.51283,43.84707
