geonames,place_type,mot,longitude,latitude
3029603,settlement,pourceaux,5.27187,44.27647
2792413,settlement,pourçais,5.56749,50.63373
2791834,settlement,pourçais,6.02794,50.42686
2790471,settlement,pourcias,4.86746,50.4669
2790869,settlement,pourciaux,3.95229,50.45413
3029030,settlement,pourcheaux,3.23472,50.17596
2977845,settlement,pourcheaux,2.26091,50.74834
3028486,settlement,pourchiaux,2.95815,50.49235
2989497,settlement,cochons,5.96915,49.01665
2970530,settlement,pouchés,6.05622,48.41692
3016274,settlement,pohaie,6.87787,48.07346
3038012,settlement,poués,7.23954,47.62417
3015958,settlement,pos,6.82733,47.74272
2970401,settlement,gouris,6.09773,47.92159
2969562,settlement,gouris,6.14251,47.62604
3027082,settlement,couchons,5.51539,47.61525
3033123,settlement,poès,6.01815,47.24878
2991652,settlement,coiçots,4,47.08333
3023919,settlement,gore,0.67195,46.01311
2968866,settlement,gouré,0.27923,45.48254
2980340,settlement,goret,-0.63489,45.74742
2968866,settlement,goret,0.27923,45.48254
2995854,settlement,goret,-1.10514,45.82268
2993209,settlement,gorrets,0.08063,44.65057
3008042,settlement,porcs,0.06097,44.55834
3036016,settlement,porcs,2.43983,44.92539
3016194,region,porcs,0.45422,43.71731
2988670,settlement,porcs,1.61079,43.1165
2979657,settlement,porcs,1.14587,42.98491
3013767,region,porcs,1.22191,43.38724
3018174,settlement,porcs,1.60705,42.96535
3041565,region,porcs,1.58333,42.55
3028641,settlement,porcs,2.34863,43.21649
2997936,settlement,porcs,3.31959,43.73178
2973362,region,porcs,2.16317,43.7817
2968866,settlement,por,0.27923,45.48254
2992166,settlement,por,3.87635,43.61093
2990363,settlement,por,4.35788,43.83665
3035681,settlement,por,4.80892,43.94834
2990140,settlement,ports,0.66168,45.52957
2976007,settlement,téchous,1.21656,44.88902
3023919,settlement,porr,0.67195,46.01311
3013719,region,pors,1.21781,45.88341
6431469,settlement,pors,4.41972,44.0125
2661017,settlement,pors,7.11693,47.11342
3038224,settlement,pors,4.08082,44.12489
2661513,settlement,pors,7.24608,47.13713
2661092,settlement,pors,7.07236,47.17822
2976546,settlement,gagnoux,1.20329,45.5145
2981816,settlement,coussou,3.10788,45.669
2983154,settlement,pouorcs,2.57338,44.35258
2993002,settlement,tessous,1.3542,44.01759
3006979,settlement,gourrets,-0.03857,44.58239
2997288,region,pouors,3.5,44.5
3002465,settlement,pouors,3.88523,45.04366
2985290,settlement,caïous,4.59918,44.735
3037514,settlement,cayoux,4.6707,45.23992
2995469,settlement,pouarcs,5.38107,43.29695
2970749,region,pouarcs,6.29145,43.4586
2989819,settlement,pouars,5.14052,44.36082
3029256,settlement,pouers,5.37339,43.735
2659601,settlement,pouers,6.91143,46.43301
2971053,settlement,cayons,4.90956,44.9256
3021435,settlement,coïous,5.37033,44.7536
3016702,settlement,puercs,6.07868,44.55858
2658864,settlement,cayou,7.0032,46.21826
2660851,settlement,puô,6.8465,46.84876
2660904,settlement,porchs,10,46.5
2660646,settlement,pouer,6.14569,46.20222
2974661,settlement,pourceous,6.35634,44.35042
2660904,settlement,pôres,10,46.5
2660463,settlement,puê,7.08207,46.58338
2978645,settlement,gorett,0.65137,48.08975
2995469,settlement,pouercs,5.38107,43.29695
2661035,settlement,poës,7.34453,47.36493
