geonames,place_type,mot,longitude,latitude
3005839,settlement,revenir,2.26825,43.18428
2981816,settlement,revenir,3.10788,45.669
3028382,settlement,revenir,6.51283,43.84707
2995469,settlement,revenir,5.38107,43.29695
2977845,settlement,arvenir,2.26091,50.74834
2989497,settlement,revenain,5.96915,49.01665
2970530,settlement,érveni,6.05622,48.41692
3016274,settlement,revi,6.87787,48.07346
3038012,settlement,revint,7.23954,47.62417
3015958,settlement,revint,6.82733,47.74272
2971053,settlement,revint,4.90956,44.9256
2997384,settlement,revint,5.36264,43.76385
2969562,settlement,èvoi,6.14251,47.62604
3027082,settlement,revenin,5.51539,47.61525
3033123,settlement,rev'ni,6.01815,47.24878
2991652,settlement,revent,4,47.08333
3005839,settlement,aver,2.26825,43.18428
2995854,settlement,avoirt,-1.10514,45.82268
2792413,settlement,vint,5.56749,50.63373
2791834,settlement,vint,6.02794,50.42686
2790471,settlement,vint,4.86746,50.4669
2993209,settlement,augere,0.08063,44.65057
3008042,settlement,reveni,0.06097,44.55834
3036016,settlement,reveni,2.43983,44.92539
3038224,settlement,reveni,4.08082,44.12489
3005839,settlement,rêvé,2.26825,43.18428
2990140,settlement,revenîr,0.66168,45.52957
2976007,settlement,révéni,1.21656,44.88902
2992166,settlement,révéni,3.87635,43.61093
2985290,settlement,révéni,4.59918,44.735
2990363,settlement,révéni,4.35788,43.83665
3035681,settlement,révéni,4.80892,43.94834
3023919,settlement,preteindré,0.67195,46.01311
3013719,region,revet,1.21781,45.88341
2976546,settlement,révénis,1.20329,45.5145
2983154,settlement,obure,2.57338,44.35258
2993002,settlement,reben,1.3542,44.01759
3006979,settlement,rében,-0.03857,44.58239
3028641,settlement,rében,2.34863,43.21649
3016194,region,rebencq,0.45422,43.71731
2988670,settlement,apparte,1.61079,43.1165
2979657,settlement,atoco,1.14587,42.98491
3013767,region,rèbèni,1.22191,43.38724
3018174,settlement,perloquo,1.60705,42.96535
3041565,region,portoquo,1.58333,42.55
2984885,region,pertoca,2.58889,42.60075
2997936,settlement,coumpeta,3.31959,43.73178
2973362,region,rébéni,2.16317,43.7817
2997288,region,veni,3.5,44.5
3002465,settlement,revegnir,3.88523,45.04366
3037514,settlement,revaindriot,4.6707,45.23992
2790869,settlement,r'viet,3.95229,50.45413
6431469,settlement,ourëvëni,4.41972,44.0125
2970749,region,reven,6.29145,43.4586
3016702,settlement,reven,6.07868,44.55858
3029603,settlement,réven,5.27187,44.27647
2989819,settlement,véni,5.14052,44.36082
3029256,settlement,révén,5.37339,43.735
3021435,settlement,révénî,5.37033,44.7536
3029030,settlement,revnir,3.23472,50.17596
2658864,settlement,venir,7.0032,46.21826
2659601,settlement,venir,6.91143,46.43301
2660851,settlement,pèrveni,6.8465,46.84876
2660646,settlement,revegni,6.14569,46.20222
2974661,settlement,rëvenir,6.35634,44.35042
2660904,settlement,tucher,10,46.5
2660904,settlement,tocca,10,46.5
3036784,settlement,r'v'nir,2.78186,50.29301
2660463,settlement,rèvigni,7.08207,46.58338
