geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
2792413,settlement,va,5.56749,50.63373,NA,NA,NA,NA,NA,
2791834,settlement,alla,6.02794,50.42686,oui,oui,NA,NA,NA,
2660463,settlement,alla,7.08207,46.58338,oui,oui,NA,NA,NA,
2661513,settlement,alla,7.24608,47.13713,oui,oui,NA,NA,NA,
2790471,settlement,Est stevooïe,4.86746,50.4669,NA,NA,NA,NA,NA,
2790869,settlement,part,3.95229,50.45413,NA,NA,NA,NA,NA,
3029030,settlement,partir,3.23472,50.17596,NA,NA,NA,NA,NA,
3036784,settlement,So ainvoye,2.78186,50.29301,NA,NA,NA,NA,NA,
2977845,settlement,s’ala,2.26091,50.74834,oui,oui,NA,NA,NA,
2989497,settlement,S’en ait ennolaye,5.96915,49.01665,oui,oui,NA,NA,NA,
2970530,settlement,San alet,6.05622,48.41692,oui,pe,oui,non,NA,
3016274,settlement,n’allé,6.87787,48.07346,oui,oui,NA,NA,NA,
3038012,settlement,s’inallai,7.23954,47.62417,oui,pe,oui,non,NA,
3015958,settlement,Son arra,6.82733,47.74272,oui,oui,NA,NA,NA,
2969562,settlement,S’en èlèt,6.14251,47.62604,oui,oui,NA,NA,NA,
3027082,settlement,S’en allai,5.51539,47.61525,oui,pe,oui,oui,NA,
3033123,settlement,S’en ollait,6.01815,47.24878,oui,oui,NA,NA,NA,
2991652,settlement,S’an ailé,4,47.08333,oui,oui,NA,NA,NA,
3023919,settlement,S’an vais,0.67195,46.01311,NA,NA,NA,NA,NA,
2968866,settlement,S’en onguai,0.27923,45.48254,oui,non,NA,NA,NA,
2980340,settlement,S’en allit,-0.63489,45.74742,oui,oui,NA,NA,NA,
2968866,settlement,S’an ulit,0.27923,45.48254,oui,non,NA,NA,NA,
2993209,settlement,Se n’anguit,0.08063,44.65057,oui,pe,oui,non,NA,
3008042,settlement,s’allugnit,0.06097,44.55834,NA,NA,NA,NA,NA,
2968866,settlement,Lou parti,0.27923,45.48254,NA,NA,NA,NA,NA,
2990140,settlement,se retiré,0.66168,45.52957,NA,NA,NA,NA,NA,
2976007,settlement,S’en onguait,1.21656,44.88902,oui,non,NA,NA,NA,
3023919,settlement,décampé,0.67195,46.01311,NA,NA,NA,NA,NA,
3013719,region,s’en onet,1.21781,45.88341,oui,non,NA,NA,NA,
2976546,settlement,S’en ané,1.20329,45.5145,oui,pe,non,oui,NA,
2990363,settlement,S’en ané,4.35788,43.83665,oui,oui,NA,NA,NA,
3029256,settlement,S’en ané,5.37339,43.735,oui,oui,NA,NA,NA,
2981816,settlement,sé né,3.10788,45.669,oui,pe,oui,oui,NA,
3036016,settlement,loun portit,2.43983,44.92539,NA,NA,NA,NA,NA,
3006979,settlement,Partit,-0.03857,44.58239,NA,NA,NA,NA,NA,
3016194,region,s’en anec,0.45422,43.71731,oui,oui,NA,NA,NA,
2988670,settlement,s’en anec,1.61079,43.1165,oui,oui,NA,NA,NA,
2979657,settlement,s’en anec,1.14587,42.98491,oui,oui,NA,NA,NA,
3013767,region,s’èn anguèc,1.22191,43.38724,oui,pe,non,oui,NA,
3018174,settlement,s’en aneg,1.60705,42.96535,oui,oui,NA,NA,NA,
3041565,region,s’en aneget,1.58333,42.55,oui,oui,NA,NA,NA,
2984885,region,fugi,2.58889,42.60075,NA,NA,NA,NA,NA,
3028641,settlement,s’én anéc,2.34863,43.21649,oui,oui,NA,NA,NA,
2997936,settlement,S’en anet,3.31959,43.73178,oui,oui,NA,NA,NA,
2995469,settlement,S’en anet,5.38107,43.29695,oui,oui,NA,NA,NA,
2973362,region,anet,2.16317,43.7817,oui,oui,NA,NA,NA,
2971053,settlement,anet,4.90956,44.9256,oui,oui,NA,NA,NA,
2997288,region,s’en anét,3.5,44.5,oui,oui,NA,NA,NA,
3002465,settlement,s’en anet,3.88523,45.04366,oui,oui,NA,NA,NA,
2995469,settlement,s’en anet,5.38107,43.29695,oui,oui,NA,NA,NA,
3037514,settlement,s’ein allait,4.6707,45.23992,oui,oui,NA,NA,NA,
3035681,settlement,s’ané,4.80892,43.94834,oui,oui,NA,NA,NA,
3021435,settlement,S’én fugué,5.37033,44.7536,NA,NA,NA,NA,NA,
3016702,settlement,S’en anec,6.07868,44.55858,oui,oui,NA,NA,NA,
2660851,settlement,L‘é zelâ,6.8465,46.84876,NA,NA,NA,NA,NA,
2659601,settlement,s’en alla,6.91143,46.43301,oui,oui,NA,NA,NA,
2974661,settlement,s’ën anë,6.35634,44.35042,oui,oui,NA,NA,NA,
2660904,settlement,eis i,10,46.5,NA,NA,NA,NA,NA,
3038224,settlement,S’ën ané,4.08082,44.12489,oui,oui,NA,NA,NA,
