geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
2980340,settlement,avait,-0.63489,45.74742,oui,oui,NA,NA,,
2993209,settlement,avait,0.08063,44.65057,oui,oui,NA,NA,,
3008042,settlement,avait,0.06097,44.55834,oui,oui,NA,NA,,
2978645,settlement,avait,0.65137,48.08975,oui,oui,NA,NA,,
2661035,settlement,avait,7.34453,47.36493,oui,oui,NA,NA,,
2659568,settlement,avait,7.36951,47.27818,oui,oui,NA,NA,,
2977845,settlement,avouoit,2.26091,50.74834,oui,oui,NA,NA,,
2968866,settlement,avo,0.27923,45.48254,oui,oui,NA,NA,,
3028486,settlement,avo,2.95815,50.49235,oui,non,NA,NA,,
2989497,settlement,aiveu,5.96915,49.01665,oui,non,NA,NA,,
2970530,settlement,éva,6.05622,48.41692,oui,pe,non,oui,,
3016274,settlement,avou,6.87787,48.07346,oui,pe,oui,non,,
3038012,settlement,aivait,7.23954,47.62417,oui,non,NA,NA,,
3015958,settlement,ava,6.82733,47.74272,oui,non,NA,NA,,
2970401,settlement,aivoit,6.09773,47.92159,oui,pe,non,oui,,
2969562,settlement,èvoi,6.14251,47.62604,oui,oui,NA,NA,,
3027082,settlement,aivot,5.51539,47.61525,oui,oui,NA,NA,,
2991652,settlement,aivot,4,47.08333,oui,oui,NA,NA,,
3033123,settlement,aîva,6.01815,47.24878,oui,oui,NA,NA,,
3023919,settlement,avîe,0.67195,46.01311,oui,oui,NA,NA,,
2661017,settlement,avîe,7.11693,47.11342,oui,pe,oui,oui,,
2968866,settlement,avês,0.27923,45.48254,oui,oui,NA,NA,,
3006787,settlement,ayant,-1.15222,46.16308,NA,NA,NA,NA,,
2661092,settlement,ayant,7.07236,47.17822,NA,NA,NA,NA,,
2968866,settlement,avet,0.27923,45.48254,oui,oui,NA,NA,,
2995854,settlement,avoil,-1.10514,45.82268,oui,oui,NA,NA,,
2792413,settlement,aveut,5.56749,50.63373,oui,oui,NA,NA,,
2990140,settlement,avio,0.66168,45.52957,oui,oui,NA,NA,,
3023919,settlement,avio,0.67195,46.01311,oui,oui,NA,NA,,
2976546,settlement,avio,1.20329,45.5145,oui,pe,oui,non,,
3002465,settlement,avio,3.88523,45.04366,oui,oui,NA,NA,,
2985290,settlement,avio,4.59918,44.735,oui,pe,oui,non,,
2976007,settlement,ovio,1.21656,44.88902,oui,oui,NA,NA,,
3021435,settlement,ovio,5.37033,44.7536,oui,non,NA,NA,,
3013719,region,oguet,1.21781,45.88341,NA,NA,NA,NA,,
2981816,settlement,ayo,3.10788,45.669,NA,NA,NA,NA,,
3036016,settlement,ôbio,2.43983,44.92539,oui,oui,NA,NA,,
2791834,settlement,avéve,6.02794,50.42686,oui,pe,non,oui,,
2983154,settlement,obio,2.57338,44.35258,oui,oui,NA,NA,,
2993002,settlement,abio,1.3542,44.01759,oui,oui,NA,NA,,
