geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
3041565,region,dons,1.58333,42.55,oui,non,NA,NA,NA,
2984885,region,dos,2.58889,42.60075,oui,pe,oui,non,NA,
3018174,settlement,dous,1.60705,42.96535,oui,oui,NA,NA,NA,
2979657,settlement,dus,1.14587,42.98491,oui,pe,non,oui,NA,
2988670,settlement,dous,1.61079,43.1165,oui,pe,non,oui,NA,
3028641,settlement,dous,2.34863,43.21649,oui,pe,oui,non,NA,
2995469,settlement,dous,5.38107,43.29695,oui,oui,NA,NA,NA,
2995469,settlement,dous,5.38107,43.29695,oui,oui,NA,NA,NA,
3013767,region,dous,1.22191,43.38724,oui,oui,NA,NA,NA,
2970749,region,dous,6.29145,43.4586,oui,pe,non,oui,NA,
2992166,settlement,dous,3.87635,43.61093,oui,oui,NA,NA,NA,
3016194,region,dus,0.45422,43.71731,oui,pe,non,oui,NA,
2997936,settlement,dous,3.31959,43.73178,oui,oui,NA,NA,NA,
3029256,settlement,dons,5.37339,43.735,oui,non,NA,NA,NA,
2973362,region,dous,2.16317,43.7817,oui,oui,NA,NA,NA,
2990363,settlement,dous,4.35788,43.83665,oui,oui,NA,NA,NA,
3028382,settlement,dous,6.51283,43.84707,oui,oui,NA,NA,NA,
3035681,settlement,dous,4.80892,43.94834,oui,oui,NA,NA,NA,
6431469,settlement,dons,4.41972,44.0125,oui,non,NA,NA,NA,
2993002,settlement,doux,1.3542,44.01759,oui,pe,non,oui,NA,
3038224,settlement,dous,4.08082,44.12489,oui,oui,NA,NA,NA,
3029603,settlement,doux,5.27187,44.27647,oui,pe,non,oui,NA,
2974661,settlement,dons,6.35634,44.35042,oui,non,NA,NA,NA,
2983154,settlement,dous,2.57338,44.35258,oui,oui,NA,NA,NA,
2989819,settlement,dous,5.14052,44.36082,oui,oui,NA,NA,NA,
2997288,region,dous,3.5,44.5,oui,oui,NA,NA,NA,
3008042,settlement,deu,0.06097,44.55834,oui,pe,oui,oui,NA,
3016702,settlement,dous,6.07868,44.55858,oui,oui,NA,NA,NA,
3006979,settlement,dus,-0.03857,44.58239,oui,pe,oui,oui,NA,
2993209,settlement,deu,0.08063,44.65057,oui,pe,oui,oui,NA,
2985290,settlement,dous,4.59918,44.735,oui,oui,NA,NA,NA,
3021435,settlement,doux,5.37033,44.7536,oui,pe,non,oui,NA,
2976007,settlement,dous,1.21656,44.88902,oui,pe,non,oui,NA,
3036016,settlement,dous,2.43983,44.92539,oui,oui,NA,NA,NA,
2971053,settlement,dous,4.90956,44.9256,oui,pe,oui,non,NA,
3002465,settlement,dous,3.88523,45.04366,oui,oui,NA,NA,NA,
3037514,settlement,dous,4.6707,45.23992,oui,pe,oui,non,NA,
2968866,settlement,deux,0.27923,45.48254,oui,pe,oui,oui,NA,
2968866,settlement,dou,0.27923,45.48254,oui,pe,oui,non,NA,
2968866,settlement,doûe,0.27923,45.48254,oui,pe,oui,oui,NA,
2976546,settlement,doux,1.20329,45.5145,oui,pe,non,oui,NA,
2990140,settlement,doux,0.66168,45.52957,oui,pe,non,oui,NA,
2981816,settlement,dou,3.10788,45.669,oui,pe,oui,non,NA,
2980340,settlement,deux,-0.63489,45.74742,oui,pe,non,oui,NA,
2995854,settlement,deux,-1.10514,45.82268,oui,pe,non,oui,NA,
3013719,region,dous,1.21781,45.88341,oui,pe,non,oui,NA,
3023919,settlement,dou,0.67195,46.01311,oui,oui,NA,NA,NA,
3023919,settlement,doûe,0.67195,46.01311,oui,pe,oui,non,NA,
3006787,settlement,deux,-1.15222,46.16308,oui,pe,oui,oui,NA,
2660646,settlement,dou,6.14569,46.20222,oui,oui,NA,NA,NA,
2658864,settlement,don,7.0032,46.21826,oui,non,NA,NA,NA,
2659601,settlement,dous,6.91143,46.43301,oui,pe,non,oui,NA,
2660904,settlement,duos,10,46.5,,,,,,non concerné
2660904,settlement,duus,10,46.5,,,,,,non concerné
2660463,settlement,don,7.08207,46.58338,oui,non,NA,NA,NA,
2660851,settlement,dou,6.8465,46.84876,oui,oui,NA,NA,NA,
2991652,settlement,deux,4,47.08333,oui,pe,oui,oui,NA,
2661017,settlement,do,7.11693,47.11342,oui,pe,oui,non,NA,
2661513,settlement,do,7.24608,47.13713,non,pe,oui,non,NA,
2661092,settlement,doux,7.07236,47.17822,oui,pe,non,oui,NA,
3033123,settlement,clou,6.01815,47.24878,oui,pe,oui,non,NA,erreur d’OCR
2659568,settlement,doux,7.36951,47.27818,oui,pe,non,oui,NA,
2661035,settlement,doux,7.34453,47.36493,oui,pe,non,oui,NA,
3027082,settlement,deux,5.51539,47.61525,oui,pe,non,oui,NA,
3038012,settlement,doux,7.23954,47.62417,oui,pe,non,oui,NA,
2969562,settlement,dù,6.14251,47.62604,oui,pe,non,oui,NA,
3015958,settlement,dou,6.82733,47.74272,oui,pe,oui,oui,NA,
2970401,settlement,doux,6.09773,47.92159,oui,oui,NA,NA,NA,
3016274,settlement,dou,6.87787,48.07346,oui,pe,oui,non,NA,
2978645,settlement,deux,0.65137,48.08975,oui,pe,oui,oui,NA,
2970530,settlement,dou,6.05622,48.41692,oui,pe,oui,oui,NA,
2989497,settlement,daoz,5.96915,49.01665,oui,pe,oui,oui,NA,
11071621,region,deux,0.49988,49.19906,oui,pe,non,oui,NA,
3029030,settlement,deux,3.23472,50.17596,oui,pe,non,oui,NA,
3036784,settlement,deeux,2.78186,50.29301,oui,oui,NA,NA,NA,
2791834,settlement,deux,6.02794,50.42686,oui,oui,NA,NA,NA,
2790869,settlement,deux,3.95229,50.45413,oui,oui,NA,NA,NA,
