geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
3041565,region,fam,1.58333,42.55,oui,oui,NA,NA,NA,
2984885,region,fam,2.58889,42.60075,oui,oui,NA,NA,NA,
3018174,settlement,fam,1.60705,42.96535,oui,pe,oui,non,NA,
2979657,settlement,hame,1.14587,42.98491,oui,pe,oui,non,NA,
2988670,settlement,fam,1.61079,43.1165,oui,non,NA,NA,NA,
3028641,settlement,fâm,2.34863,43.21649,oui,non,NA,NA,NA,
2995469,settlement,fam,5.38107,43.29695,oui,non,NA,NA,NA,
3013767,region,fam,1.22191,43.38724,oui,non,NA,NA,NA,
2970749,region,fam,6.29145,43.4586,oui,non,NA,NA,NA,
2992166,settlement,fan,3.87635,43.61093,oui,non,NA,NA,NA,
3016194,region,hame,0.45422,43.71731,oui,pe,non,oui,NA,
2997936,settlement,fan,3.31959,43.73178,non,NA,NA,NA,NA,
3029256,settlement,fan,5.37339,43.735,oui,non,NA,NA,NA,
2973362,region,fam,2.16317,43.7817,non,NA,NA,NA,NA,
2990363,settlement,fan,4.35788,43.83665,oui,non,NA,NA,NA,
3028382,settlement,famé,6.51283,43.84707,oui,pe,oui,non,NA,
3035681,settlement,fam,4.80892,43.94834,oui,non,NA,NA,NA,
6431469,settlement,fan,4.41972,44.0125,oui,pe,oui,non,NA,
2993002,settlement,fan,1.3542,44.01759,non,NA,NA,NA,NA,
3029603,settlement,fam,5.27187,44.27647,oui,pe,oui,oui,NA,
2989819,settlement,fan,5.14052,44.36082,oui,pe,non,oui,NA,
2997288,region,fon,3.5,44.5,oui,oui,NA,NA,NA,
3008042,settlement,fagn,0.06097,44.55834,oui,non,NA,NA,NA,
3016702,settlement,famp,6.07868,44.55858,oui,oui,NA,NA,NA,
3006979,settlement,ame,-0.03857,44.58239,oui,pe,oui,oui,NA,
2993209,settlement,faing,0.08063,44.65057,oui,non,NA,NA,NA,
2985290,settlement,fon,4.59918,44.735,oui,pe,oui,non,NA,
3021435,settlement,fon,5.37033,44.7536,oui,pe,oui,oui,NA,
2976007,settlement,tolan,1.21656,44.88902,oui,pe,oui,non,NA,
3036016,settlement,fom,2.43983,44.92539,non,NA,NA,NA,NA,
2971053,settlement,farn,4.90956,44.9256,oui,non,NA,NA,NA,
3002465,settlement,fon,3.88523,45.04366,oui,pe,oui,non,NA,
3037514,settlement,fam,4.6707,45.23992,oui,non,NA,NA,NA,
2968866,settlement,faim,0.27923,45.48254,oui,pe,oui,non,NA,
2968866,settlement,fam,0.27923,45.48254,oui,pe,oui,non,NA,
2968866,settlement,fam,0.27923,45.48254,oui,pe,oui,non,NA,
2976546,settlement,fam,1.20329,45.5145,oui,oui,NA,NA,NA,
2990140,settlement,fom,0.66168,45.52957,oui,pe,oui,non,NA,
2981816,settlement,fan,3.10788,45.669,oui,non,NA,NA,NA,
2980340,settlement,faim,-0.63489,45.74742,oui,pe,oui,oui,NA,
2995854,settlement,faim,-1.10514,45.82268,oui,pe,non,oui,NA,
3013719,region,fam,1.21781,45.88341,oui,oui,NA,NA,NA,
3023919,settlement,fan,0.67195,46.01311,oui,non,NA,NA,NA,
3023919,settlement,fan,0.67195,46.01311,oui,non,NA,NA,NA,
2660646,settlement,fam,6.14569,46.20222,oui,non,NA,NA,NA,
2658864,settlement,fam,7.0032,46.21826,oui,non,NA,NA,NA,
2660904,settlement,fom,10,46.5,,,,,,non concerné
2991652,settlement,faim,4,47.08333,oui,pe,oui,oui,NA,
2661017,settlement,fam,7.11693,47.11342,oui,non,NA,NA,NA,
3033123,settlement,faim,6.01815,47.24878,oui,oui,NA,NA,NA,
3027082,settlement,faim,5.51539,47.61525,oui,oui,NA,NA,NA,
3038012,settlement,fin,7.23954,47.62417,oui,oui,NA,NA,NA,
2969562,settlement,fèim,6.14251,47.62604,oui,pe,non,oui,NA,
3015958,settlement,fain,6.82733,47.74272,oui,pe,non,oui,NA,
2970401,settlement,faim,6.09773,47.92159,oui,oui,NA,NA,NA,
3016274,settlement,faim,6.87787,48.07346,oui,oui,NA,NA,NA,
2970530,settlement,faim,6.05622,48.41692,oui,oui,NA,NA,NA,
2989497,settlement,fé,5.96915,49.01665,oui,non,NA,NA,NA,
3036784,settlement,fon-ye,2.78186,50.29301,oui,non,NA,NA,NA,
2791834,settlement,faim,6.02794,50.42686,oui,oui,NA,NA,NA,
2790869,settlement,faim,3.95229,50.45413,oui,oui,NA,NA,NA,
2790471,settlement,fouain,4.86746,50.4669,oui,oui,NA,NA,NA,
3028486,settlement,foin,2.95815,50.49235,oui,pe,non,oui,NA,
2792413,settlement,faim,5.56749,50.63373,oui,oui,NA,NA,NA,
2977845,settlement,faain,2.26091,50.74834,oui,pe,oui,oui,NA,
