geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
2792413,settlement,fils,5.56749,50.63373,oui,pe,non,oui,NA,influence graphie française ?
2976007,settlement,fils,1.21656,44.88902,oui,pe,non,oui,NA,
3036016,settlement,fils,2.43983,44.92539,oui,pe,non,oui,NA,
2791834,settlement,fils,6.02794,50.42686,oui,pe,non,oui,NA,influence graphie française ?
2993002,settlement,fils,1.3542,44.01759,pe,pe,oui,non,NA,
2988670,settlement,fils,1.61079,43.1165,oui,oui,NA,NA,NA,
3013767,region,fils,1.22191,43.38724,oui,pe,oui,non,NA,
2973362,region,fils,2.16317,43.7817,oui,oui,NA,NA,NA,
2997288,region,fils,3.5,44.5,pe,pe,oui,oui,NA,
2661513,settlement,fils,7.24608,47.13713,NA,NA,NA,NA,NA,
2977845,settlement,éfans,2.26091,50.74834,NA,NA,NA,NA,NA,
2997936,settlement,éfans,3.31959,43.73178,oui,oui,NA,NA,NA,
3038224,settlement,éfans,4.08082,44.12489,NA,NA,NA,NA,NA,
2990109,region,éfans,,,NA,NA,NA,NA,NA,
2989497,settlement,offans,5.96915,49.01665,NA,NA,NA,NA,NA,
3037514,settlement,afans,4.6707,45.23992,NA,NA,NA,NA,NA,
2970530,settlement,gâchons,6.05622,48.41692,oui,pe,oui,non,NA,
3016274,settlement,fé,6.87787,48.07346,oui,oui,NA,NA,NA,
3038012,settlement,fés,7.23954,47.62417,NA,NA,NA,NA,NA,
2661035,settlement,fés,7.34453,47.36493,NA,NA,NA,NA,NA,
2661092,settlement,fés,7.07236,47.17822,NA,NA,NA,NA,NA,
3015958,settlement,boubes,6.82733,47.74272,oui,pe,oui,non,NA,
2970401,settlement,guechons,6.09773,47.92159,NA,NA,NA,NA,NA,
2969562,settlement,gaichons,6.14251,47.62604,oui,oui,NA,NA,NA,
3027082,settlement,gassons,5.51539,47.61525,oui,pe,oui,oui,NA,
3033123,settlement,offants,6.01815,47.24878,NA,NA,NA,NA,NA,
2991652,settlement,renfans,4,47.08333,NA,NA,NA,NA,NA,
2968866,settlement,enfans,2.26825,43.18428,NA,NA,NA,NA,NA,
