geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
2790869,settlement,garder,3.95229,50.45413,oui,non,NA,NA,,
2991652,settlement,garder,4,47.08333,oui,oui,NA,NA,,
2980340,settlement,garder,-0.63489,45.74742,oui,oui,NA,NA,,
2995854,settlement,garder,-1.10514,45.82268,oui,oui,NA,NA,,
2993209,settlement,garder,0.08063,44.65057,oui,oui,NA,NA,,
3023919,settlement,garda,0.67195,46.01311,oui,oui,NA,NA,,
2968866,settlement,garda,0.27923,45.48254,oui,oui,NA,NA,,
2968866,settlement,garda,0.27923,45.48254,A REVOIR,,,,,
3023919,settlement,garda,0.67195,46.01311,oui,oui,NA,NA,,
2981816,settlement,garda,3.10788,45.669,oui,oui,NA,NA,,
2993002,settlement,garda,1.3542,44.01759,oui,oui,NA,NA,,
3006979,settlement,garda,-0.03857,44.58239,oui,oui,NA,NA,,
2988670,settlement,garda,1.61079,43.1165,oui,oui,NA,NA,,
3013767,region,garda,1.22191,43.38724,oui,oui,NA,NA,,
3018174,settlement,garda,1.60705,42.96535,oui,oui,NA,NA,,
3041565,region,garda,1.58333,42.55,oui,oui,NA,NA,,
3028641,settlement,garda,2.34863,43.21649,oui,oui,NA,NA,,
2997936,settlement,garda,3.31959,43.73178,oui,oui,NA,NA,,
2973362,region,garda,2.16317,43.7817,oui,oui,NA,NA,,
2992166,settlement,garda,3.87635,43.61093,oui,oui,NA,NA,,
3002465,settlement,garda,3.88523,45.04366,oui,oui,NA,NA,,
3037514,settlement,garda,4.6707,45.23992,oui,pe,oui,non,,
2990363,settlement,garda,4.35788,43.83665,oui,oui,NA,NA,,
6431469,settlement,garda,4.41972,44.0125,oui,oui,NA,NA,,
2970749,region,garda,6.29145,43.4586,oui,oui,NA,NA,,
3035681,settlement,garda,4.80892,43.94834,oui,oui,NA,NA,,
3029603,settlement,garda,5.27187,44.27647,oui,oui,NA,NA,,
2989819,settlement,garda,5.14052,44.36082,oui,pe,oui,non,,
2971053,settlement,garda,4.90956,44.9256,oui,oui,NA,NA,,
2658864,settlement,garda,7.0032,46.21826,oui,oui,NA,NA,,
2660646,settlement,garda,6.14569,46.20222,oui,oui,NA,NA,,
3038224,settlement,garda,4.08082,44.12489,oui,oui,NA,NA,,
2792413,settlement,wârdé,5.56749,50.63373,oui,non,NA,NA,,
2791834,settlement,wardé,6.02794,50.42686,oui,oui,NA,NA,,
3028486,settlement,wardé,2.95815,50.49235,oui,oui,NA,NA,,
2790471,settlement,waurdé,4.86746,50.4669,oui,pe,oui,oui,,isoglosse en plus ? Waurdé entre wodi et wardé
3029030,settlement,warder,3.23472,50.17596,oui,oui,NA,NA,,
2977845,settlement,Être gardeu,2.26091,50.74834,oui,oui,NA,NA,,
2989497,settlement,oidaye,5.96915,49.01665,NA,NA,NA,NA,,
2970530,settlement,voidet,6.05622,48.41692,oui,pe,oui,oui,,
3016274,settlement,vadget,6.87787,48.07346,oui,pe,oui,oui,,
3038012,settlement,voigeai,7.23954,47.62417,oui,non,NA,NA,,
3015958,settlement,voigea,6.82733,47.74272,oui,pe,non,oui,,
2970401,settlement,gaidia,6.09773,47.92159,oui,pe,oui,oui,,
2969562,settlement,gueidia,6.14251,47.62604,oui,oui,NA,NA,,
3027082,settlement,gadai,5.51539,47.61525,oui,oui,NA,NA,,
3033123,settlement,gaidhia,6.01815,47.24878,oui,oui,NA,NA,,
2968866,settlement,gardisse,0.27923,45.48254,oui,oui,NA,NA,,
3008042,settlement,gardé,0.06097,44.55834,oui,oui,NA,NA,,
2990140,settlement,gardais,0.66168,45.52957,oui,oui,NA,NA,,
2976007,settlement,gorda,1.21656,44.88902,oui,pe,oui,non,,
3036016,settlement,gorda,2.43983,44.92539,oui,oui,NA,NA,,
2983154,settlement,gorda,2.57338,44.35258,oui,oui,NA,NA,,
3013719,region,gardas,1.21781,45.88341,oui,oui,NA,NA,,
2976546,settlement,gardas,1.20329,45.5145,oui,oui,NA,NA,,
3016702,settlement,gardas,6.07868,44.55858,oui,oui,NA,NA,,
3016194,region,ouyata,0.45422,43.71731,NA,NA,NA,NA,,
2979657,settlement,guarda,1.14587,42.98491,oui,pe,oui,non,,
2984885,region,porquer,2.58889,42.60075,NA,NA,NA,NA,,
2985290,settlement,sounia,4.59918,44.735,NA,NA,NA,NA,,
2995469,settlement,gardar,5.38107,43.29695,oui,oui,NA,NA,,
2974661,settlement,gardar,6.35634,44.35042,oui,oui,NA,NA,,
2995469,settlement,gardar,5.38107,43.29695,oui,oui,NA,NA,,
3029256,settlement,gardéssé,5.37339,43.735,oui,oui,NA,NA,,
3021435,settlement,gordâ,5.37033,44.7536,oui,pe,oui,non,,
2660851,settlement,gardâ,6.8465,46.84876,oui,oui,NA,NA,,
2661017,settlement,voirda,7.11693,47.11342,oui,pe,non,oui,,
2659601,settlement,vouerda,6.91143,46.43301,oui,pe,oui,oui,,
2660463,settlement,vuèrdâ,7.08207,46.58338,oui,pe,non,oui,,
2978645,settlement,gardaie,0.65137,48.08975,oui,oui,NA,NA,,
2661513,settlement,voarda,7.24608,47.13713,oui,pe,non,oui,,
2661035,settlement,vardé,7.34453,47.36493,oui,pe,oui,non,,
2661092,settlement,voirdai,7.07236,47.17822,oui,pe,oui,oui,,
