geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
3041565,region,jous,1.58333,42.55,oui,non,NA,NA,NA,
2984885,region,dies,2.58889,42.60075,oui,oui,NA,NA,NA,
3018174,settlement,jous,1.60705,42.96535,oui,non,NA,NA,NA,
2979657,settlement,dios,1.14587,42.98491,oui,oui,NA,NA,NA,
2988670,settlement,jouns,1.61079,43.1165,oui,oui,NA,NA,NA,
3028641,settlement,jours,2.34863,43.21649,oui,non,NA,NA,NA,
2995469,settlement,jours,5.38107,43.29695,oui,non,NA,NA,NA,
3013767,region,jours,1.22191,43.38724,oui,oui,NA,NA,NA,
2970749,region,jours,6.29145,43.4586,oui,non,NA,NA,NA,
2992166,settlement,jours,3.87635,43.61093,oui,non,NA,NA,NA,
3016194,region,jours,0.45422,43.71731,oui,oui,NA,NA,NA,
2997936,settlement,jours,3.31959,43.73178,oui,non,NA,NA,NA,
3029256,settlement,jour,5.37339,43.735,oui,non,NA,NA,NA,
2973362,region,xouns,2.16317,43.7817,oui,pe,non,oui,NA,
2990363,settlement,jhours,4.35788,43.83665,oui,pe,non,oui,NA,
3035681,settlement,dzours,4.80892,43.94834,oui,oui,NA,NA,NA,
6431469,settlement,jhours,4.41972,44.0125,oui,pe,non,oui,NA,
2993002,settlement,jours,1.3542,44.01759,oui,pe,oui,non,NA,
3029603,settlement,jours,5.27187,44.27647,oui,non,NA,NA,NA,
2983154,settlement,chours,2.57338,44.35258,oui,pe,non,oui,NA,
2989819,settlement,jours,5.14052,44.36082,oui,non,NA,NA,NA,
2997288,region,geours,3.5,44.5,oui,pe,non,oui,NA,
3008042,settlement,joure,0.06097,44.55834,oui,oui,NA,NA,NA,
3016702,settlement,tens,6.07868,44.55858,non,NA,NA,NA,NA,
3006979,settlement,joures,-0.03857,44.58239,oui,oui,NA,NA,NA,
2993209,settlement,tan,0.08063,44.65057,non,NA,NA,NA,NA,
3021435,settlement,témps,5.37033,44.7536,non,NA,NA,NA,NA,
2976007,settlement,tzours,1.21656,44.88902,oui,oui,NA,NA,NA,
3036016,settlement,jiours,2.43983,44.92539,oui,pe,oui,oui,NA,
2971053,settlement,jours,4.90956,44.9256,oui,non,NA,NA,NA,
3002465,settlement,djours,3.88523,45.04366,oui,pe,non,oui,NA,
3037514,settlement,teimps,4.6707,45.23992,non,NA,NA,NA,NA,
2968866,settlement,jour,0.27923,45.48254,oui,pe,non,oui,NA,
2968866,settlement,jiours,0.27923,45.48254,oui,pe,non,oui,NA,
2968866,settlement,teins,0.27923,45.48254,non,NA,NA,NA,NA,
2976546,settlement,jours,1.20329,45.5145,oui,pe,non,oui,NA,
2990140,settlement,djours,0.66168,45.52957,oui,pe,non,oui,NA,
2981816,settlement,dzours,3.10788,45.669,oui,pe,non,oui,NA,
2980340,settlement,jour,-0.63489,45.74742,oui,pe,oui,non,NA,
2995854,settlement,jour,-1.10514,45.82268,oui,pe,non,oui,NA,
3013719,region,temps,1.21781,45.88341,non,NA,NA,NA,NA,
3023919,settlement,jourre,0.67195,46.01311,oui,oui,NA,NA,NA,
3023919,settlement,jourr,0.67195,46.01311,oui,oui,NA,NA,NA,
2660646,settlement,jours,6.14569,46.20222,oui,non,NA,NA,NA,
2658864,settlement,dzor,7.0032,46.21826,oui,pe,oui,non,NA,
2660904,settlement,dits,10,46.5,,,,,,non concerné
2991652,settlement,zors,4,47.08333,oui,non,NA,NA,NA,
2661017,settlement,dias,7.11693,47.11342,oui,pe,oui,oui,NA,
3033123,settlement,jou,6.01815,47.24878,oui,oui,NA,NA,NA,
3027082,settlement,jos,5.51539,47.61525,oui,oui,NA,NA,NA,
3038012,settlement,jos,7.23954,47.62417,oui,pe,oui,oui,NA,
3015958,settlement,joues,6.82733,47.74272,oui,pe,non,oui,NA,
2970401,settlement,jous,6.09773,47.92159,oui,oui,NA,NA,NA,
3016274,settlement,jo,6.87787,48.07346,oui,oui,NA,NA,NA,
2970530,settlement,jonaies,6.05622,48.41692,non,NA,NA,NA,NA,
2989497,settlement,jou,5.96915,49.01665,oui,oui,NA,NA,NA,
3029030,settlement,jours,3.23472,50.17596,oui,oui,NA,NA,NA,
3036784,settlement,jours,2.78186,50.29301,oui,oui,NA,NA,NA,
2791834,settlement,jours,6.02794,50.42686,oui,pe,non,oui,NA,
2790471,settlement,djous,4.86746,50.4669,oui,oui,NA,NA,NA,
3028486,settlement,tems,2.95815,50.49235,non,NA,NA,NA,NA,
2792413,settlement,joûr,5.56749,50.63373,oui,non,NA,NA,NA,
2977845,settlement,jour,2.26091,50.74834,oui,oui,NA,NA,NA,
