geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
3041565,region,pa,1.58333,42.55,oui,oui,NA,NA,NA,
2984885,region,pa,2.58889,42.60075,oui,oui,NA,NA,NA,
3018174,settlement,pa,1.60705,42.96535,oui,oui,NA,NA,NA,
2979657,settlement,pa,1.14587,42.98491,oui,oui,NA,NA,NA,
2988670,settlement,pa,1.61079,43.1165,oui,oui,NA,NA,NA,
3028641,settlement,pa,2.34863,43.21649,oui,oui,NA,NA,NA,
2995469,settlement,pan,5.38107,43.29695,oui,pe,non,oui,NA,
3013767,region,pa,1.22191,43.38724,oui,pe,oui,non,NA,
2970749,region,pan,6.29145,43.4586,oui,pe,non,oui,NA,
2992166,settlement,pan,3.87635,43.61093,oui,oui,NA,NA,NA,
2997936,settlement,pan,3.31959,43.73178,oui,oui,NA,NA,NA,
3029256,settlement,pan,5.37339,43.735,oui,non,NA,NA,NA,
2973362,region,pa,2.16317,43.7817,oui,oui,NA,NA,NA,
2990363,settlement,pan,4.35788,43.83665,oui,pe,non,oui,NA,
3028382,settlement,pan,6.51283,43.84707,oui,non,NA,NA,NA,
3035681,settlement,peu,4.80892,43.94834,oui,pe,non,oui,NA,
6431469,settlement,pan,4.41972,44.0125,oui,oui,NA,NA,NA,
2993002,settlement,pa,1.3542,44.01759,oui,oui,NA,NA,NA,
3029603,settlement,pan,5.27187,44.27647,oui,non,NA,NA,NA,
2983154,settlement,pa,2.57338,44.35258,oui,oui,NA,NA,NA,
2989819,settlement,pan,5.14052,44.36082,oui,non,NA,NA,NA,
2997288,region,pan,3.5,44.5,oui,pe,oui,non,NA,
3008042,settlement,pagn,0.06097,44.55834,oui,pe,oui,oui,NA,
3016702,settlement,pa,6.07868,44.55858,oui,non,NA,NA,NA,
3006979,settlement,pan,-0.03857,44.58239,oui,pe,oui,oui,NA,
2993209,settlement,peu,0.08063,44.65057,oui,pe,non,oui,NA,
2985290,settlement,pon,4.59918,44.735,oui,pe,non,oui,NA,
3021435,settlement,pon,5.37033,44.7536,oui,pe,non,oui,NA,
2976007,settlement,po,1.21656,44.88902,oui,oui,NA,NA,NA,
3036016,settlement,po,2.43983,44.92539,oui,oui,NA,NA,NA,
2971053,settlement,pan,4.90956,44.9256,oui,pe,oui,non,NA,
3002465,settlement,po,3.88523,45.04366,oui,oui,NA,NA,NA,
3037514,settlement,pan,4.6707,45.23992,oui,non,NA,NA,NA,
2968866,settlement,pain,0.27923,45.48254,oui,non,NA,NA,NA,
2968866,settlement,pain,0.27923,45.48254,oui,non,NA,NA,NA,
2968866,settlement,po,0.27923,45.48254,oui,oui,NA,NA,NA,
2976546,settlement,pô,1.20329,45.5145,oui,oui,NA,NA,NA,
2990140,settlement,po,0.66168,45.52957,oui,oui,NA,NA,NA,
2981816,settlement,ce,3.10788,45.669,,,,,,non concerné
2980340,settlement,pain,-0.63489,45.74742,oui,pe,non,oui,NA,
2995854,settlement,pain,-1.10514,45.82268,oui,pe,oui,oui,NA,
3013719,region,po,1.21781,45.88341,oui,oui,NA,NA,NA,
3023919,settlement,pan,0.67195,46.01311,oui,non,NA,NA,NA,
3023919,settlement,pô,0.67195,46.01311,oui,pe,oui,non,NA,
2660646,settlement,pan,6.14569,46.20222,oui,pe,non,oui,NA,
2658864,settlement,pan,7.0032,46.21826,oui,pe,non,oui,NA,
2660904,settlement,pang,10,46.5,,,,,,non concerné
2991652,settlement,pain,4,47.08333,oui,non,NA,NA,NA,
2661017,settlement,pa,7.11693,47.11342,oui,pe,oui,non,NA,
3033123,settlement,pain,6.01815,47.24878,oui,non,NA,NA,NA,
3027082,settlement,pain,5.51539,47.61525,oui,non,NA,NA,NA,
3038012,settlement,pain,7.23954,47.62417,oui,non,NA,NA,NA,
2969562,settlement,pain,6.14251,47.62604,oui,non,NA,NA,NA,
3015958,settlement,pain,6.82733,47.74272,oui,non,NA,NA,NA,
3016274,settlement,pain,6.87787,48.07346,oui,non,NA,NA,NA,
2970530,settlement,pain,6.05622,48.41692,oui,pe,non,oui,NA,
2989497,settlement,pé,5.96915,49.01665,oui,oui,NA,NA,NA,
3029030,settlement,poin,3.23472,50.17596,oui,pe,oui,oui,NA,
3036784,settlement,Pon-ye,2.78186,50.29301,oui,non,NA,NA,NA,
2791834,settlement,pan,6.02794,50.42686,oui,non,NA,NA,NA,
2790869,settlement,pain,3.95229,50.45413,oui,pe,oui,non,NA,
2790471,settlement,pouain,4.86746,50.4669,oui,pe,non,oui,NA,
3028486,settlement,poin,2.95815,50.49235,oui,non,NA,NA,NA,
2977845,settlement,paayn,2.26091,50.74834,oui,non,NA,NA,NA,
