geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
3041565,region,pais,1.58333,42.55,oui,oui,NA,NA,NA,
2984885,region,pays,2.58889,42.60075,oui,pe,non,oui,NA,
3018174,settlement,pais,1.60705,42.96535,oui,oui,NA,NA,NA,
2979657,settlement,païs,1.14587,42.98491,oui,oui,NA,NA,NA,
2988670,settlement,païs,1.61079,43.1165,oui,oui,NA,NA,NA,
3028641,settlement,pays,2.34863,43.21649,oui,oui,NA,NA,NA,
2995469,settlement,pays,5.38107,43.29695,oui,pe,non,oui,NA,
3013767,region,pays,1.22191,43.38724,oui,oui,NA,NA,NA,
2970749,region,païs,6.29145,43.4586,oui,pe,non,oui,NA,
2992166,settlement,peys,3.87635,43.61093,oui,oui,NA,NA,NA,
3016194,region,païs,0.45422,43.71731,oui,oui,NA,NA,NA,
2997936,settlement,païs,3.31959,43.73178,oui,pe,non,oui,NA,
3029256,settlement,pais,5.37339,43.735,oui,oui,NA,NA,NA,
2973362,region,païs,2.16317,43.7817,oui,oui,NA,NA,NA,
2990363,settlement,peïs,4.35788,43.83665,oui,oui,NA,NA,NA,
3028382,settlement,paysé,6.51283,43.84707,oui,non,NA,NA,NA,
3035681,settlement,péys,4.80892,43.94834,oui,oui,NA,NA,NA,
6431469,settlement,pëis,4.41972,44.0125,oui,oui,NA,NA,NA,
2993002,settlement,païs,1.3542,44.01759,oui,oui,NA,NA,NA,
3029603,settlement,païs,5.27187,44.27647,oui,pe,oui,oui,NA,
2983154,settlement,poys,2.57338,44.35258,oui,oui,NA,NA,NA,
2989819,settlement,païs,5.14052,44.36082,oui,pe,non,oui,NA,
2997288,region,peïs,3.5,44.5,oui,oui,NA,NA,NA,
3008042,settlement,payi,0.06097,44.55834,oui,pe,non,oui,NA,
3016702,settlement,païs,6.07868,44.55858,oui,oui,NA,NA,NA,
3006979,settlement,peïs,-0.03857,44.58239,oui,pe,non,oui,NA,
2993209,settlement,pays,0.08063,44.65057,oui,pe,oui,oui,NA,
2985290,settlement,poïss,4.59918,44.735,oui,pe,oui,non,NA,Correspond au point à l’est
3021435,settlement,éndré,5.37033,44.7536,non,NA,NA,NA,NA,
2976007,settlement,pois,1.21656,44.88902,oui,pe,oui,oui,NA,s muet
3036016,settlement,poys,2.43983,44.92539,oui,pe,non,oui,NA,s muet
2971053,settlement,païs,4.90956,44.9256,oui,pe,non,oui,NA,s muet
3002465,settlement,pays,3.88523,45.04366,oui,pe,non,oui,NA,
3037514,settlement,patiis,4.6707,45.23992,oui,non,NA,NA,NA,
2968866,settlement,pays,0.27923,45.48254,oui,pe,non,oui,NA,
2968866,settlement,pays,0.27923,45.48254,oui,pe,non,oui,NA,
2968866,settlement,païs,0.27923,45.48254,oui,pe,non,oui,NA,
2976546,settlement,pays,1.20329,45.5145,oui,pe,non,oui,NA,
2990140,settlement,pays,0.66168,45.52957,oui,pe,non,oui,NA,
2981816,settlement,pays,3.10788,45.669,oui,pe,non,oui,NA,
2980340,settlement,pays,-0.63489,45.74742,oui,pe,non,oui,NA,
2995854,settlement,pays,-1.10514,45.82268,oui,pe,non,oui,NA,
3013719,region,poïs,1.21781,45.88341,oui,pe,oui,oui,NA,
3023919,settlement,pay,0.67195,46.01311,oui,oui,NA,NA,NA,
3023919,settlement,pay,0.67195,46.01311,oui,oui,NA,NA,NA,
3006787,settlement,poyis,-1.15222,46.16308,oui,non,NA,NA,NA,
2660646,settlement,païs,6.14569,46.20222,oui,pe,non,oui,NA,
2658864,settlement,pays,7.0032,46.21826,oui,pe,non,oui,NA,
2660904,settlement,pajais,10,46.5,,,,,,non traité
2660851,settlement,paï,6.8465,46.84876,oui,pe,non,oui,NA,
2991652,settlement,pays,4,47.08333,oui,pe,non,oui,NA,
2661017,settlement,paìs,7.11693,47.11342,oui,pe,non,oui,NA,
3033123,settlement,pays,6.01815,47.24878,oui,pe,non,oui,NA,
3027082,settlement,paii,5.51539,47.61525,oui,oui,NA,NA,NA,
3038012,settlement,pays,7.23954,47.62417,oui,pe,oui,oui,NA,
2969562,settlement,pèiy,6.14251,47.62604,oui,oui,NA,NA,NA,
3015958,settlement,payis,6.82733,47.74272,oui,pe,non,oui,NA,
2970401,settlement,pays,6.09773,47.92159,oui,pe,non,oui,NA,
3016274,settlement,peï,6.87787,48.07346,oui,oui,NA,NA,NA,
2970530,settlement,péïs,6.05622,48.41692,oui,pe,oui,oui,NA,
2989497,settlement,pays,5.96915,49.01665,oui,pe,non,oui,NA,
3036784,settlement,pahis,2.78186,50.29301,oui,pe,non,oui,NA,
2791834,settlement,païs,6.02794,50.42686,oui,pe,non,oui,NA,s muet
2790869,settlement,sachu,3.95229,50.45413,non,NA,NA,NA,NA,
2977845,settlement,paays,2.26091,50.74834,oui,pe,non,oui,NA,
